make,gov_ymm,gov_covered,gov_coverage_pct,our_rows,our_exact,our_family,our_crossmake,our_none,our_rows_matched_pct,our_rows_exact_pct
acura,212,177,83.5%,603,584,0,0,19,96.8%,96.8%
alfaromeo,41,23,56.1%,119,116,0,0,3,97.5%,97.5%
astonmartin,117,42,35.9%,40,37,0,0,3,92.5%,92.5%
audi,530,500,94.3%,1030,951,0,0,79,92.3%,92.3%
bentley,127,29,22.8%,41,40,0,0,1,97.6%,97.6%
bmw,913,836,91.6%,1507,1424,31,0,52,96.5%,94.5%
buick,212,171,80.7%,567,536,0,0,31,94.5%,94.5%
cadillac,241,171,71.0%,594,587,0,0,7,98.8%,98.8%
chevrolet,703,542,77.1%,2699,2646,0,0,53,98.0%,98.0%
chrysler,245,161,65.7%,459,435,0,0,24,94.8%,94.8%
daewoo,12,6,50.0%,6,6,0,0,0,100.0%,100.0%
daihatsu,6,0,0.0%,0,0,0,0,0,n/a,n/a
dodge,322,246,76.4%,875,861,0,0,14,98.4%,98.4%
eagle,32,0,0.0%,0,0,0,0,0,n/a,n/a
ferrari,196,28,14.3%,37,31,0,0,6,83.8%,83.8%
fiat,41,23,56.1%,51,48,0,0,3,94.1%,94.1%
fisker,18,0,0.0%,0,0,0,0,0,n/a,n/a
ford,1108,594,53.6%,2348,2289,0,0,59,97.5%,97.5%
genesis,43,39,90.7%,161,161,0,0,0,100.0%,100.0%
geo,29,20,69.0%,29,20,0,9,0,100.0%,69.0%
gmc,304,236,77.6%,1487,1486,0,0,1,99.9%,99.9%
honda,327,295,90.2%,1241,1239,0,0,2,99.8%,99.8%
hummer,29,28,96.6%,27,27,0,0,0,100.0%,100.0%
hyundai,309,214,69.3%,795,788,0,0,7,99.1%,99.1%
ineos,4,0,0.0%,0,0,0,0,0,n/a,n/a
infiniti,213,128,60.1%,436,334,83,0,19,95.6%,76.6%
isuzu,93,43,46.2%,42,42,0,0,0,100.0%,100.0%
jaguar,170,142,83.5%,494,435,3,0,56,88.7%,88.1%
jeep,212,171,80.7%,1053,1035,0,0,18,98.3%,98.3%
karma,18,1,5.6%,2,2,0,0,0,100.0%,100.0%
kia,255,175,68.6%,749,724,0,0,25,96.7%,96.7%
lamborghini,76,28,36.8%,29,28,0,0,1,96.6%,96.6%
landrover,151,129,85.4%,612,588,0,0,24,96.1%,96.1%
lexus,288,250,86.8%,1206,1194,0,0,12,99.0%,99.0%
lincoln,174,139,79.9%,531,521,0,0,10,98.1%,98.1%
lotus,98,18,18.4%,30,19,0,0,11,63.3%,63.3%
lucid,7,3,42.9%,11,9,0,0,2,81.8%,81.8%
maserati,92,47,51.1%,66,63,0,0,3,95.5%,95.5%
maybach,20,0,0.0%,0,0,0,0,0,n/a,n/a
mazda,289,207,71.6%,605,577,2,0,26,95.7%,95.4%
mclaren,115,30,26.1%,29,25,0,0,4,86.2%,86.2%
mercedesbenz,478,339,70.9%,2819,2674,81,0,64,97.7%,94.9%
mercury,123,71,57.7%,104,104,0,0,0,100.0%,100.0%
merkur,2,0,0.0%,0,0,0,0,0,n/a,n/a
mini,82,75,91.5%,363,347,0,0,16,95.6%,95.6%
mitsubishi,270,147,54.4%,594,553,0,0,41,93.1%,93.1%
nissan,494,369,74.7%,1696,1636,0,0,60,96.5%,96.5%
oldsmobile,107,73,68.2%,74,74,0,0,0,100.0%,100.0%
peugeot,4,0,0.0%,0,0,0,0,0,n/a,n/a
plymouth,61,50,82.0%,51,49,0,1,1,98.0%,96.1%
polestar,12,12,100.0%,9,8,1,0,0,100.0%,88.9%
pontiac,164,75,45.7%,115,115,0,0,0,100.0%,100.0%
porsche,162,161,99.4%,795,787,0,0,8,99.0%,99.0%
ram,105,87,82.9%,959,569,0,388,2,99.8%,59.3%
rivian,19,10,52.6%,11,10,0,0,1,90.9%,90.9%
rollsroyce,109,28,25.7%,32,32,0,0,0,100.0%,100.0%
saab,58,46,79.3%,48,46,0,0,2,95.8%,95.8%
saturn,130,108,83.1%,59,59,0,0,0,100.0%,100.0%
scion,0,0,n/a,82,82,0,0,0,100.0%,100.0%
smart,17,1,5.9%,2,2,0,0,0,100.0%,100.0%
subaru,209,183,87.6%,1185,1176,2,0,7,99.4%,99.2%
suzuki,120,59,49.2%,54,54,0,0,0,100.0%,100.0%
tesla,13,3,23.1%,112,110,0,0,2,98.2%,98.2%
toyota,663,567,85.5%,2531,2457,2,0,72,97.2%,97.1%
vinfast,16,0,0.0%,0,0,0,0,0,n/a,n/a
volkswagen,318,259,81.4%,849,842,0,0,7,99.2%,99.2%
volvo,275,175,63.6%,487,477,0,0,10,97.9%,97.9%
yugo,3,0,0.0%,0,0,0,0,0,n/a,n/a
