make,epa_base_model,vclass,years_missing,n_years_missing
roushperformance,Mustang,Subcompact Cars,2001-2004 2006-2017 2019 2021,18
chevrolet,Van 1500/2500,Vans,1996-2008,13
toyota,Matrix,Small Station Wagons,2003-2013,11
roushperformance,F150,Standard Pickup Trucks 2WD,2006-2008 2014 2016-2020,9
porsche,Carrera 4 Cabriolet,Minicompact Cars,1991 2003-2009,8
bugatti,Veyron,Two Seaters,2006 2008 2010-2015,8
ford,Transit T150 Wagon,"Vans, Passenger Type",2015-2022,8
rollsroyce,Brooklands/Turbo R,Midsize Cars,1991-1997,7
mitsubishi,Nativa,Special Purpose Vehicle 2WD,1998-2004,7
jaguar,Super V8,Midsize Cars,2002-2003 2005-2009,7
porsche,Carrera 2 Cabriolet,Minicompact Cars,2003-2009,7
porsche,Carrera 4 S,Minicompact Cars,2003-2009,7
chevrolet,Van 1500,"Vans, Cargo Type",2003-2009,7
bugatti,Chiron,Two Seaters,2018-2024,7
scion,xD,Subcompact Cars,2008-2014,7
byd,e6,Sport Utility Vehicle - 2WD,2012-2014 2016-2018 2020,7
oldsmobile,Cutlass Cruiser,Midsize-Large Station Wagons,1990-1995,6
chevrolet,Pickup 2500,Standard Pickup Trucks,1993-1998,6
chevrolet,Van 15/25 Conversion,"Vans, Cargo Type",2003-2008,6
jaguar,Vdp,Large Cars,2004-2009,6
spyker,C8,Minicompact Cars,2005-2007 2009-2011,6
mazda,Speed 3,Midsize Cars,2008-2013,6
bentley,Continental Supersports,Two Seaters,2010-2013 2017-2018,6
chevrolet,Sprint,Subcompact Cars,1990-1994,5
ferrari,456 MGT/MGA,Subcompact Cars,1999-2003,5
mercedesbenz,SLR,Two Seaters,2005-2009,5
porsche,Carrera 2 S Cabriolet,Minicompact Cars,2005-2009,5
mercedesbenz,SLS AMG,Two Seaters,2011-2015,5
scion,iQ,Minicompact Cars,2011-2015,5
nissan,NV200 NYC Taxi,Special Purpose Vehicle 2WD,2015-2019,5
pagani,Huayra Coupe,Two Seaters,2014 2016 2018 2020 2023,5
volvo,240,Compact Cars,1990-1993,4
dodge,D250 Pickup,Standard Pickup Trucks,1990-1993,4
dodge,Power Ram 50 Pickup,Standard Pickup Trucks,1990-1993,4
dodge,W250 Pickup,Standard Pickup Trucks,1990-1993,4
dodge,B350 Van,Vans,1991-1994,4
chevrolet,Postal Cab Chassis,Special Purpose Vehicles,1991-1994,4
toyota,Cab Chassis,Special Purpose Vehicles,1990-1993,4
ferrari,360 Modena/Spider,Two Seaters,2000-2003,4
chevrolet,Captiva,Sport Utility Vehicle - 2WD,2012-2015,4
ferrari,F12,Two Seaters,2013-2016,4
astonmartin,DBX V8,Standard Sport Utility Vehicle 4WD,2021-2024,4
astonmartin,DBX 707,Standard Sport Utility Vehicle 4WD,2023-2026,4
ferrari,296 GTB,Two Seaters,2022-2023 2025-2026,4
cxautomotive,XM,Midsize Cars,1991-1993,3
