make,nhtsa_model,vehicle_type,years_missing_epa_confirmed,n_epa_confirmed,years_missing_nhtsa_only,n_years_missing,n_years_listed,entirely_missing,epa_corroborated_any_year,most_recent_missing,priority_score
acura,RLX,Passenger Car,2014-2017 2019-2020,6,,6,7,false,true,2020,40
acura,SLX,MPV,1996-1999,4,,4,4,true,true,1999,36
acura,Vigor,Passenger Car,1992-1994,3,,3,3,true,true,1994,26
acura,ZDX,MPV,2026,1,,1,7,false,true,2026,26
acura,TL,Passenger Car,1995 1999,2,1990-1994,7,25,false,true,1999,23
acura,CL,Passenger Car,,0,1990-1996,7,13,false,true,1996,17
acura,RL,Passenger Car,,0,1990-1995,6,23,false,true,1995,16
acura,NSX,Passenger Car,,0,1990,1,23,false,true,1990,11
alfaromeo,164,Passenger Car,1991-1995,5,1990,6,6,true,true,1995,35
alfaromeo,Spider,Passenger Car,1990-1994,5,,5,5,true,true,1994,34
alfaromeo,Tonale,Passenger Car,2025-2026,2,2024,3,3,true,true,2026,29
alfaromeo,Stelvio,MPV,2026,1,,1,9,false,true,2026,26
alfaromeo,Giulia (952),Passenger Car,2026,1,2016,2,11,false,true,2026,21
astonmartin,DB9,Passenger Car,2005-2016,12,,12,12,true,true,2016,68
astonmartin,Vanquish,Passenger Car,2002-2006 2014-2017 2025-2026,11,2001 2007,13,14,false,true,2026,62
astonmartin,DBS,Passenger Car,2009-2012 2019-2023,9,2024,10,10,true,true,2024,57
astonmartin,Rapide,Passenger Car,2010-2012 2014-2017 2019,8,,8,9,false,true,2019,48
astonmartin,Virage,Passenger Car,1991-1993 2012,4,1990 1994,6,6,true,true,2012,35
astonmartin,DB7,Passenger Car,1997-1998,2,1994-1996 1999-2003,10,10,true,true,2003,30
astonmartin,Valhalla,Passenger Car,2026,1,,1,1,true,true,2026,24
astonmartin,Valour,Passenger Car,2024,1,,1,1,true,true,2024,24
astonmartin,V12 Vantage,Passenger Car,,0,2018,1,7,false,true,2018,17
astonmartin,V8 Vantage,Passenger Car,,0,2018,1,10,false,true,2018,17
astonmartin,DB12,Passenger Car,,0,2024-2026,3,3,true,false,2026,13
astonmartin,Valiant,Passenger Car,,0,2024-2026,3,3,true,false,2026,13
astonmartin,Vanquish Zagato,Passenger Car,,0,2018-2019,2,2,true,false,2019,12
astonmartin,Lagonda,Passenger Car,,0,1991-1994,4,4,true,false,1994,8
audi,S7,Passenger Car,2013-2017 2020-2025,11,,11,12,false,true,2025,60
audi,Q4,MPV,2022-2026,5,,5,5,true,true,2026,46
audi,e-tron GT,Passenger Car,2022-2024,3,,3,3,true,true,2024,32
audi,S e-tron GT,Passenger Car,2025-2026,2,,2,2,true,true,2026,28
audi,e-tron,MPV,2020,1,,1,5,false,true,2020,26
audi,RS 4,Passenger Car,2007-2008,2,,2,2,true,true,2008,25
audi,R8,Passenger Car,2018,1,,1,14,false,true,2018,20
audi,A6,Passenger Car,1998-1999,2,,2,32,false,true,1999,18
audi,Cabriolet,Passenger Car,,0,1992-1993,2,7,false,true,1993,12
audi,RS 6,Passenger Car,,0,2004,1,8,false,true,2004,11
bentley,Continental,Passenger Car,1998-2001 2003-2017,19,1990-1997 2002,28,37,false,true,2017,101
bentley,Arnage,Passenger Car,1999-2009,11,,11,11,true,true,2009,61
bentley,Azure,Passenger Car,1998-2001 2003 2007-2010,9,1996-1997 2002 2004-2006,15,15,true,true,2010,59
bentley,Mulsanne,Passenger Car,2011-2017 2019-2020,9,1990-1992,12,13,false,true,2020,55
bentley,Brooklands,Passenger Car,1998 2009-2010,3,1993-1997,8,8,true,true,2010,34
bentley,Flying Spur,Passenger Car,2014-2017,4,,4,13,false,true,2017,32
bentley,ARMOURED ARNAGE,Passenger Car,,0,2004-2009,6,6,true,false,2009,13
bentley,Turbo,Passenger Car,,0,1990-1998,9,9,true,false,1998,13
bentley,Eight,Passenger Car,,0,1990-1992,3,3,true,false,1992,7
bmw,i3,Passenger Car,2014-2017 2019-2021,7,,7,8,false,true,2021,44
bmw,128i,Passenger Car,2008-2013,6,2014,7,7,true,true,2014,42
bmw,135i,Passenger Car,2008-2013,6,2014,7,7,true,true,2014,42
bmw,840Ci,Passenger Car,1991-1996,6,1990,7,7,true,true,1996,39
bmw,850Ci,Passenger Car,1991-1996,6,1990,7,7,true,true,1996,39
