make,nhtsa_model,vehicle_type,years_missing_epa_confirmed,n_epa_confirmed,years_missing_nhtsa_only,n_years_missing,n_years_listed,entirely_missing,epa_corroborated_any_year,most_recent_missing,priority_score
hyundai,Accent,Passenger Car,2000-2017 2019-2022,22,,22,28,false,true,2022,104
kia,Rio,Passenger Car,2001-2017 2019-2023,22,,22,23,false,true,2023,104
nissan,Frontier,Truck,2000-2017 2019 2026,20,,20,29,false,true,2026,104
bentley,Continental,Passenger Car,1998-2001 2003-2017,19,1990-1997 2002,28,37,false,true,2017,101
volvo,C70,MPV,1998-2004 2006-2013,15,,15,15,true,true,2013,83
mitsubishi,Outlander Sport,MPV,2011-2017 2019-2026,15,,15,16,false,true,2026,82
mazda,B-Series,Truck,1990-1993 2000-2009,14,2010,15,21,false,true,2010,78
lotus,Esprit,Passenger Car,1990-1995 1997-2004,14,1996 2007-2009,18,18,true,true,2009,77
ford,Transit Connect,Truck,2010-2017 2019-2023,13,,13,14,false,true,2023,76
volvo,XC70,Passenger Car,2004-2016,13,,13,13,true,true,2016,72
dodge,Dakota,Truck,2000-2011,12,2012,13,23,false,true,2012,70
hyundai,Azera,Passenger Car,2006-2017,12,2018,13,13,true,true,2018,69
astonmartin,DB9,Passenger Car,2005-2016,12,,12,12,true,true,2016,68
rollsroyce,Phantom,Passenger Car,2004-2016,13,,13,23,false,true,2016,68
chrysler,Voyager,MPV,2001-2003 2008 2020-2026,11,2009,12,18,false,true,2026,67
mercedesbenz,GL-Class,MPV,2007-2016,10,2006,11,11,true,true,2016,67
cadillac,SRX,MPV,2006-2016,11,,11,13,false,true,2016,66
mercedesbenz,CLK-Class,Passenger Car,1998-2009,12,,12,12,true,true,2009,65
mazda,Tribute,MPV,2001-2006 2008-2011,10,,10,10,true,true,2011,63
volvo,V70,MPV,2000-2010,11,,11,13,false,true,2010,63
astonmartin,Vanquish,Passenger Car,2002-2006 2014-2017 2025-2026,11,2001 2007,13,14,false,true,2026,62
bentley,Arnage,Passenger Car,1999-2009,11,,11,11,true,true,2009,61
chevrolet,Aveo,Passenger Car,2004-2011,8,2012-2020,17,17,true,true,2020,61
lamborghini,Gallardo,Passenger Car,2004-2014,11,,11,11,true,true,2014,61
audi,S7,Passenger Car,2013-2017 2020-2025,11,,11,12,false,true,2025,60
mercury,Villager,MPV,1993-2002,10,,10,10,true,true,2002,60
mitsubishi,Mirage,MPV,1990-1999 2002,11,,11,24,false,true,2002,60
smart,Fortwo,Passenger Car,2008-2017 2019,11,,11,12,false,true,2019,60
volkswagen,Eos,Passenger Car,2007-2016,10,,10,10,true,true,2016,60
bentley,Azure,Passenger Car,1998-2001 2003 2007-2010,9,1996-1997 2002 2004-2006,15,15,true,true,2010,59
chevrolet,Venture,MPV,1997-2005,9,,9,9,true,true,2005,59
infiniti,FX35,MPV,2003-2010 2012,9,,9,9,true,true,2012,59
lamborghini,Diablo,Passenger Car,1990-1999 2001,11,2000,12,12,true,true,2001,59
nissan,NV200,Truck,2013-2017 2019-2021,8,2022-2024,11,12,false,true,2024,59
hyundai,Nexo,MPV,2019-2026,8,,8,8,true,true,2026,58
landrover,LR2,MPV,2008-2015,8,,8,8,true,true,2015,58
mitsubishi,Raider,Truck,2006-2010,5,1993-2005,18,18,true,true,2010,58
astonmartin,DBS,Passenger Car,2009-2012 2019-2023,9,2024,10,10,true,true,2024,57
pontiac,Trans Sport,MPV,1990-1998,9,,9,9,true,true,1998,56
bentley,Mulsanne,Passenger Car,2011-2017 2019-2020,9,1990-1992,12,13,false,true,2020,55
mercedesbenz,R-Class,MPV,2006-2013,8,,8,8,true,true,2013,55
mitsubishi,Endeavor,MPV,2004-2011,8,,8,8,true,true,2011,55
mitsubishi,Montero Sport,MPV,1997-2004,8,1991-1993,11,11,true,true,2004,55
nissan,Juke,MPV,2011-2017,7,2018,8,8,true,true,2018,55
lexus,SC,Passenger Car,2000 2002-2010,10,2001,11,19,false,true,2010,54
maserati,Quattroporte,Passenger Car,2005-2012 2024,9,1990-1991,11,22,false,true,2024,54
maybach,57,Passenger Car,2004-2012,9,2003,10,10,true,true,2012,54
jaguar,Vanden Plas,Passenger Car,1996-2003,8,1990-1995 2004,15,15,true,true,2004,53
ford,F-250,MPV,1991-1999,9,,9,37,false,true,1999,52
hyundai,Genesis,Passenger Car,2009-2016,8,,8,8,true,true,2016,52
jeep,Wrangler,MPV,1990-1995 1997-1999,9,,9,37,false,true,1999,52
