make,model,years,n_rows,ymm_exact,ymm_family,ymm_crossmake,ymm_none,none_years
landrover,defender,2000-2016 2019-2026,67,7,0,0,18,2000-2016 2019
ford,fiesta,2000-2024,65,9,0,0,16,2000-2010 2020-2024
mitsubishi,montero,1990-1991 2000-2017 2019-2021,23,9,0,0,14,2007-2017 2019-2021
audi,a3,1996-2026,40,19,0,0,12,1996-2005 2014 2021
buick,regal,1990-2017 2019-2026,63,24,0,0,12,2005-2010 2021-2026
mercedesbenz,g-class,1990-2017 2019-2026,84,25,0,0,11,1990-1998 2000-2001
bmw,m5,1990-1995 1999-2026,76,25,0,0,9,1990 1994-1995 1999 2004-2005 2011-2012 2024
mercedesbenz,a-class-amg,2013-2017 2019-2026,16,4,0,0,9,2013-2017 2023-2026
chevrolet,trailblazer,2001-2009 2013-2017 2019-2026,59,14,0,0,8,2001 2013-2017 2019-2020
lotus,elise,2010-2017 2019-2021,11,3,0,0,8,2013-2017 2019-2021
toyota,fj-cruiser,2007-2017 2019-2023,26,8,0,0,8,2015-2017 2019-2023
bmw,m3,1992-2026,80,27,1,0,7,1992-1994 2000 2007 2014 2019
buick,lacrosse,2005-2026,139,15,0,0,7,2020-2026
ford,focus,2000-2025,76,19,0,0,7,2019-2025
mitsubishi,i,2005-2013,9,2,0,0,7,2005-2011
toyota,yaris,2000-2020,23,14,0,0,7,2000-2006
toyota,e-z,2011-2017,7,0,0,0,7,2011-2017
toyota,etios-valco,2011-2017,7,0,0,0,7,2011-2017
audi,s6,1995-1997 1999-2003 2006-2025,29,22,0,0,6,1999-2001 2006 2012 2019
audi,rs5,2010-2025,17,10,0,0,6,2010-2012 2016-2017 2020
audi,s8,2000-2003 2006-2026,25,19,0,0,6,2000 2006 2010-2012 2019
chevrolet,spark,2005-2023,21,13,0,0,6,2005-2007 2009-2010 2023
ford,ranger,1990-1992 2000-2017 2019-2026,134,23,0,0,6,2012-2017
ford,taurus,1990-2025,39,30,0,0,6,2020-2025
ford,sportka,2003-2008,6,0,0,0,6,2003-2008
jaguar,xe,2015-2025,72,5,0,0,6,2015-2016 2022-2025
mercedesbenz,eqa,2021-2026,6,0,0,0,6,2021-2026
toyota,86,2012-2022,12,5,0,0,6,2012-2016 2021
audi,coupe,1990-1996,7,2,0,0,5,1992-1996
buick,verano,2011-2017 2019-2022,11,6,0,0,5,2011 2019-2022
cadillac,ct6,2016-2025,14,5,0,0,5,2021-2025
chrysler,voyager,1990-1999,10,5,0,0,5,1990-1994
ford,fusion,2002-2021,61,15,0,0,5,2002-2005 2021
mitsubishi,maven,2005-2009,5,0,0,0,5,2005-2009
toyota,vios-fs,2017 2019-2022,5,0,0,0,5,2017 2019-2022
toyota,c-hr,2016-2025,11,5,0,0,5,2016-2017 2023-2025
toyota,gt-86,2012-2017 2019-2020,8,3,0,0,5,2012-2016
buick,electra-e5,2023-2026,4,0,0,0,4,2023-2026
ford,streetka,2003-2006,4,0,0,0,4,2003-2006
mazda,cx-9,2006-2026,64,17,0,0,4,2006 2024-2026
mazda,mx-30,2020-2025,6,2,0,0,4,2020-2021 2024-2025
mitsubishi,mirage,2000-2001 2012-2026,19,13,0,0,4,2012-2013 2025-2026
mitsubishi,chariot-grandis,2000-2003,4,0,0,0,4,2000-2003
