make,model,rows,match,partial,mismatch,our_empty,usaf_missing_ymm,bad,bad_pct
porsche,911,246,25,213,8,0,0,221,89.8
ram,3500,332,134,74,124,0,0,198,59.6
nissan,titan,257,38,164,31,0,24,195,75.9
ford,expedition,211,43,160,8,0,0,168,79.6
mercedes,c-class,190,24,95,71,0,0,166,87.4
jeep,grand-cherokee,413,259,68,86,0,0,154,37.3
mercedes,e-class,177,21,60,92,0,4,152,85.9
bmw,3-series,186,35,100,51,0,0,151,81.2
mercedes-benz,e-class,230,75,47,104,0,4,151,65.7
bmw,5-series,179,29,84,64,0,2,148,82.7
mercedes-benz,s-class,213,69,46,96,0,2,142,66.7
chevrolet,express-3500,139,0,138,1,0,0,139,100
gmc,savana-3500,135,0,135,0,0,0,135,100
gmc,sierra-2500hd,154,20,85,49,0,0,134,87
subaru,forester,203,69,134,0,0,0,134,66
subaru,outback,236,70,131,0,0,35,131,55.5
lexus,es,180,46,109,20,0,5,129,71.7
subaru,impreza,141,16,123,2,0,0,125,88.7
porsche,boxster,145,15,85,40,0,5,125,86.2
kia,sportage,155,32,120,1,0,2,121,78.1
gmc,sierra-3500hd,130,12,106,12,0,0,118,90.8
chevrolet,silverado-2500hd,145,29,75,41,0,0,116,80
mitsubishi,eclipse,115,0,115,0,0,0,115,100
chevrolet,express-2500,112,0,96,16,0,0,112,100
mitsubishi,lancer,112,0,112,0,0,0,112,100
porsche,panamera,128,16,112,0,0,0,112,87.5
hyundai,tucson,136,23,112,0,0,1,112,82.4
chevrolet,colorado,138,14,96,16,0,12,112,81.2
volvo,s60,120,10,110,0,0,0,110,91.7
gmc,savana-2500,108,0,88,20,0,0,108,100
dodge,grand-caravan,107,0,107,0,0,0,107,100
hyundai,sonata,183,77,106,0,0,0,106,57.9
lincoln,town-car,104,0,34,70,0,0,104,100
chevrolet,silverado-3500hd,120,16,93,11,0,0,104,86.7
ford,ranger,153,38,96,8,0,11,104,68
volkswagen,jetta,171,67,103,1,0,0,104,60.8
lexus,rx,162,59,103,0,0,0,103,63.6
audi,q5,106,3,102,0,0,1,102,96.2
lexus,gx,139,36,102,0,0,1,102,73.4
nissan,armada,109,4,100,0,0,5,100,91.7
lincoln,navigator,124,24,64,36,0,0,100,80.6
porsche,cayenne,170,64,77,21,0,8,98,57.6
dodge,charger,134,36,97,0,0,1,97,72.4
hyundai,santa-fe,154,56,97,0,0,1,97,63
subaru,legacy,160,63,97,0,0,0,97,60.6
volvo,xc90,115,19,96,0,0,0,96,83.5
mercedes,s-class,138,37,63,32,0,6,95,68.8
bmw,x5,110,16,94,0,0,0,94,85.5
gmc,acadia,119,24,94,0,0,1,94,79
ram,2500,312,219,59,34,0,0,93,29.8
bmw,x3,96,4,92,0,0,0,92,95.8
nissan,pathfinder,140,43,92,0,0,5,92,65.7
chevrolet,malibu,151,56,75,15,0,5,90,59.6
mini,cooper,152,62,90,0,0,0,90,59.2
dodge,challenger,157,60,84,4,0,9,88,56.1
mercedes-benz,c-class,240,153,15,72,0,0,87,36.3
gmc,yukon,217,131,67,19,0,0,86,39.6
audi,q7,100,10,85,0,0,5,85,85
subaru,wrx,203,118,65,20,0,0,85,41.9
gmc,canyon,106,22,60,24,0,0,84,79.2
jeep,compass,130,46,84,0,0,0,84,64.6
land rover,range-rover,154,70,24,60,0,0,84,54.5
mitsubishi,galant,95,14,81,0,0,0,81,85.3
lexus,lx,110,25,70,10,0,5,80,72.7
lexus,is,135,45,65,15,0,10,80,59.3
buick,lacrosse,139,52,56,24,0,7,80,57.6
ram,1500,210,131,60,19,0,0,79,37.6
land rover,discovery,116,40,70,6,0,0,76,65.5
jaguar,xf,90,8,75,0,0,7,75,83.3
audi,a6,106,31,32,43,0,0,75,70.8
jaguar,xj,154,67,30,45,0,12,75,48.7
jeep,wrangler,155,80,73,1,0,1,74,47.7
ford,explorer,285,214,59,12,0,0,71,24.9
mercedes-benz,gle,106,31,16,54,0,5,70,66
cadillac,escalade,166,84,62,8,6,6,70,42.2
nissan,altima,166,96,69,1,0,0,70,42.2
cadillac,cts,102,33,54,15,0,0,69,67.6
volkswagen,passat,120,51,60,8,0,1,68,56.7
toyota,land-cruiser,77,5,56,11,0,5,67,87
audi,a4,101,30,41,26,0,4,67,66.3
honda,pilot,177,110,29,38,0,0,67,37.9
land rover,range-rover-evoque,75,8,66,0,0,1,66,88
volvo,xc60,85,19,66,0,0,0,66,77.6
volkswagen,tiguan,114,48,66,0,0,0,66,57.9
nissan,versa,80,12,64,0,0,4,64,80
gmc,sierra-1500,181,117,63,1,0,0,64,35.4
ford,e-150,60,0,0,60,0,0,60,100
gmc,savana-1500,60,0,36,24,0,0,60,100
lincoln,mkz,78,13,60,0,0,5,60,76.9
nissan,xterra,96,36,60,0,0,0,60,62.5
cadillac,escalade-esv,142,82,51,9,0,0,60,42.3
dodge,ram-2500,59,0,32,27,0,0,59,100
dodge,ram-3500,59,0,32,27,0,0,59,100
mercedes,glc,58,0,58,0,0,0,58,100
chevrolet,express-1500,102,44,4,54,0,0,58,56.9
ford,f-250,164,103,36,21,0,4,57,34.8
toyota,rav4,285,228,24,33,0,0,57,20
nissan,sentra,115,59,56,0,0,0,56,48.7
mercedes,gle,55,0,54,1,0,0,55,100
lincoln,mkx,60,4,55,0,0,1,55,91.7
toyota,tacoma,315,261,8,46,0,0,54,17.1
ford,escape,178,124,44,9,0,1,53,29.8
lincoln,aviator,50,0,35,15,0,0,50,100
gmc,terrain,103,52,44,6,0,1,50,48.5
mercedes,amg-gt,78,21,14,35,0,8,49,62.8
ford,f-350,159,110,29,20,0,0,49,30.8
alfa romeo,giulia,52,4,48,0,0,0,48,92.3
chevrolet,impala,95,47,48,0,0,0,48,50.5
mini,clubman,106,0,0,48,0,58,48,45.3
buick,enclave,125,76,32,16,0,1,48,38.4
bmw,7-series,89,42,31,16,0,0,47,52.8
ford,f-150,252,205,9,38,0,0,47,18.7
honda,civic,275,228,24,23,0,0,47,17.1
gmc,safari,49,3,26,20,0,0,46,93.9
bmw,m3,80,17,45,1,0,17,46,57.5
volkswagen,golf,115,37,44,2,0,32,46,40
genesis,g80,48,3,45,0,0,0,45,93.8
infiniti,qx60,66,11,45,0,0,10,45,68.2
mitsubishi,outlander,120,70,45,0,0,5,45,37.5
nissan,rogue,99,55,36,8,0,0,44,44.4
lexus,gs,120,72,19,25,0,4,44,36.7
subaru,ascent,48,5,43,0,0,0,43,89.6
alfa romeo,stelvio,47,5,42,0,0,0,42,89.4
jaguar,f-pace,65,21,42,0,0,2,42,64.6
infiniti,qx50,108,24,42,0,0,42,42,38.9
honda,accord,197,155,22,20,0,0,42,21.3
kia,forte,83,33,40,0,0,10,40,48.2
volkswagen,gti,116,43,40,0,0,33,40,34.5
mercedes,cla,39,0,39,0,0,0,39,100
