make,model,ymm_with_missing,missing_sizes_total,years,sample
bmw,3-series,33,121,1991-2026,205/55R15 195/65R14 225/55R15 235/40R17 225/45R17 245/40R17
mercedes,e-class-coupe,14,107,2009-2023,245/45R17 265/35R18 235/45R17 255/40R17 235/40R18 255/35R18
mercedes,e-class,32,104,1994-2026,205/60R15 235/45R17 275/35R18 215/55R16 265/35R18 255/40R17
mercedes-benz,e-class-coupe,13,101,2010-2023,245/45R17 245/40R18 265/35R18 235/45R17 255/40R17 235/40R18
mercedes,e-class-cabriolet,14,100,2009-2023,245/45R17 265/35R18 235/45R17 255/40R17 235/40R18 255/35R18
mercedes-benz,c-class,25,99,2000-2026,225/45R17 245/40R17 195/65R15 205/60R15 205/55R16 225/50R16
bmw,5-series,27,97,1997-2026,225/60R15 255/40R17 235/45R17 235/40R18 265/35R18 255/40R19
mercedes,c-class-amg,18,95,2008-2026,235/35R19 255/30R19 255/35R19 285/30R19 265/35R19 235/40R18
ford,f-150,26,93,1990-2026,215/75R15 265/75R15 275/60R17 245/75R16 265/70R17 255/70R16
mercedes-benz,e-class-cabriolet,12,90,2011-2023,245/45R17 245/40R18 265/35R18 235/45R17 255/40R17 235/40R18
mercedes-benz,e-class,27,88,1994-2026,225/55R16 245/40R18 275/35R18 235/45R17 215/55R16 255/40R17
mercedes,c-class,25,84,1995-2026,245/40R17 245/35R18 235/35R19 235/40R18 255/35R19 285/30R19
mercedes-benz,s-class,26,84,2000-2026,225/55R17 275/40R18 245/45R18 225/60R16 265/40R18 245/40R19
porsche,911,31,84,1994-2026,225/40R18 265/35R18 285/30R18 205/50R17 255/40R17 315/30R18
mercedes,s-class,27,83,1999-2026,235/60R16 225/60R16 265/40R18 245/45R18 225/55R17 245/40R19
porsche,boxster,21,82,2000-2025,205/55R16 225/50R16 205/50R17 225/40R18 265/35R18 225/45R17
bmw,x5-m,17,78,2009-2026,255/55R18 255/50R19 275/40R20 315/35R20 285/35R21 325/30R21
chevrolet,silverado,13,70,1999-2026,235/75R16 255/70R16 245/75R16 235/75R15 255/70R17 265/65R18
porsche,cayenne,16,69,2003-2026,255/55R18 275/45R19 275/40R20 235/60R18 255/50R19 265/50R19
bmw,x6-m,17,66,2009-2026,255/50R19 275/40R20 315/35R20 285/35R21 325/30R21 275/45R20
ford,mustang,32,66,1990-2026,195/75R14 225/60R15 225/55R16 205/65R15 245/45R17 255/45R17
ford,mustang-shelby-gt500,12,65,2007-2023,235/55R17 235/50R18 215/65R16 215/60R17 245/45R19 255/45R18
mercedes-benz,e-class-amg,21,65,2002-2025,245/40R18 275/35R18 265/35R18 255/40R18 285/35R18 255/35R19
mercedes,amg-gt,9,64,2017-2026,295/30R19 255/45R19 285/40R19 265/40R20 295/35R20 275/35R21
mercedes,gle-class-coupe,10,64,2016-2026,255/50R19 265/45R20 295/35R21 285/40R22 325/35R22 275/45R21
gmc,sierra-2500hd,28,61,1990-2026,225/75R16 245/75R16 265/60R20 265/70R18 245/75R17 265/70R17
mercedes,slk-class,17,58,2000-2016,225/50R16 245/40R17 225/40R18 245/35R18 235/40R18 255/35R18
mercedes,cls-class,17,56,2006-2023,275/35R18 255/40R18 285/35R18 285/30R19 245/40R19 275/35R19
mercedes,sl-class,19,56,2000-2020,245/45R17 245/40R18 275/35R18 285/35R18 255/45R17 255/35R19
mercedes,sl-class-amg,19,55,2003-2025,285/35R18 255/35R19 285/30R19 265/35R19 325/30R20 265/40R20
porsche,panamera,13,54,2010-2026,275/45R18 255/45R19 285/40R19 255/40R20 295/35R20 295/40R19
mercedes,glc-class-coupe,10,53,2016-2026,235/55R19 285/40R20 255/40R21 285/35R21 265/45R20 295/40R20
audi,a8,21,52,2000-2026,225/60R16 225/55R17 245/45R18 235/55R17 255/45R18 255/40R19
bmw,6-series,14,52,2004-2019,275/35R18 245/40R19 275/35R19 275/40R18 245/35R20 275/30R20
gmc,sierra-1500,24,50,1990-2026,275/60R15 225/75R16 235/75R16 255/70R16 235/75R15 265/70R17
mercedes-benz,slk-class,17,50,2000-2016,205/55R16 225/50R16 225/40R18 245/35R18 235/40R18 255/35R18
bmw,x4-m,7,49,2019-2025,245/50R19 245/45R20 275/40R20 245/40R21 275/35R21 255/40R21
mercedes,gls,8,49,2019-2026,285/40R22 275/55R19 315/40R21 285/45R22 285/40R23 325/35R23
chevrolet,suburban,22,48,1993-2026,225/75R16 235/75R15 245/75R16 265/70R17 265/70R16 275/55R20
ford,mustang-shelby-gt350,8,47,2011-2020,285/35R19 265/40R19 285/35R20 235/50R18 245/45R19 215/65R17
lexus,is,17,46,2002-2026,225/45R17 245/45R17 255/40R18 225/40R19 255/35R19 205/55R16
toyota,tundra,26,46,2000-2026,245/70R16 255/70R18 285/70R17 265/60R20 245/75R18 285/65R18
maserati,quattroporte,10,45,2013-2023,245/35R20 295/30R20 245/40R20 285/35R20 245/45R19 275/40R19
mercedes,e-class-amg,21,45,2002-2025,275/35R18 265/35R18 255/40R18 285/35R18 285/30R19 245/40R19
porsche,macan,6,45,2015-2026,235/55R19 255/50R19 255/55R18 265/45R20 295/40R20 235/55R20
bmw,4-series-gran-coupe,10,44,2015-2026,225/40R19 225/45R18 225/50R17 255/40R18 255/35R19 245/45R18
chevrolet,silverado-2500hd,22,43,1999-2026,245/75R16 225/75R16 265/70R17 245/75R17 265/60R20 275/65R18
land rover,range-rover,24,43,1995-2025,205/80R16 255/55R18 255/50R20 255/55R19 235/65R19 275/40R22
mercedes-benz,g-class,23,43,2002-2026,265/60R18 285/55R18 285/45R21 295/40R22
bmw,x3-m,6,42,2019-2024,225/60R18 245/50R19 275/40R20 245/40R21 275/35R21 265/45R20
mercedes,cl-class,15,42,2000-2014,225/55R17 245/45R18 275/40R18 265/40R18 245/40R19 275/35R19
toyota,tacoma,19,41,1995-2015,195/75R14 205/75R14 215/65R15 31X10.50R15 215/70R14 205/75R15
bmw,7-series,21,40,1994-2023,225/60R15 235/50R18 255/45R18 235/60R16 245/45R19 245/40R20
lexus,rc,10,40,2015-2025,235/40R19 265/35R19 255/35R19 275/35R19
mercedes-benz,s-class-coupe,6,40,2015-2021,255/40R20 285/35R20 245/50R18 245/45R19 275/40R19 245/40R20
mercedes-benz,sl-class-amg,16,40,2003-2025,255/40R18 285/35R18 265/35R19 325/30R20 285/30R20 265/40R20
mercedes-benz,cla,12,39,2014-2026,225/40R18 235/35R19 225/40R19 245/35R19 235/40R18 255/35R19
volkswagen,jetta-gli,14,39,2012-2026,195/65R15 205/55R16 205/50R17 205/60R16 205/55R17 225/45R18
buick,regal,22,38,1990-2017,205/70R15 225/60R16 215/70R15 245/40R19 235/50R17 255/35R20
pontiac,grand-prix,18,38,1990-2008,215/65R15 195/75R14 205/65R15 215/60R16 245/50R16 215/60R15
subaru,impreza,22,38,1993-2015,165/80R13 175/70R14 185/70R14 205/60R15 195/60R15 225/45R17
bmw,2-series,12,37,2014-2026,205/50R17 245/35R18 235/35R19 225/40R19 225/45R18 255/40R18
chevrolet,silverado-1500,20,37,1999-2026,235/75R16 255/70R16 245/75R16 235/75R15 245/70R17 265/70R17
ford,ranger,21,37,1990-2026,215/70R14 235/75R15 265/75R15 245/75R16 31X10.50R15 235/70R16
chevrolet,colorado,11,36,2004-2024,205/75R15 225/75R15 265/75R15 235/50R17 235/50R18 265/70R17
ford,mustang-mach-1,7,35,2003-2023,225/55R16 235/50R18 265/35R20 275/40R19 305/35R19 235/55R17
mercedes,s-class-coupe,6,35,2015-2021,255/40R20 285/35R20 245/50R18 245/45R19 275/40R19 245/40R20
mercedes-benz,sl-class,14,35,2002-2016,245/45R17 245/40R18 275/35R18 255/40R18 285/35R18 255/45R17
toyota,corolla,23,35,1990-2019,185/70R13 185/60R14 175/70R13 155/80R13 175/65R14 185/65R15
audi,a4,24,34,1999-2025,205/60R15 205/65R15 215/55R16 255/35R19 245/45R17 235/45R17
bmw,m5,13,34,2000-2016,245/40R18 275/35R18 255/40R19 285/35R19 265/40R19 295/35R19
chevrolet,silverado-3500hd,25,34,2001-2026,225/75R16 215/85R16 225/75R17 265/75R16 235/80R17 235/80R18
mercedes,gla-class,10,34,2015-2026,235/40R20 235/55R18 235/50R19 235/45R20 255/40R20 255/35R21
cadillac,ct5-v,7,33,2020-2026,245/45R18 255/35R20 245/40R19 275/35R19 305/30R19 285/35R19
gmc,sierra-3500hd,25,33,2001-2026,225/75R16 215/85R16 225/75R17 265/75R16 235/80R17 235/80R18
jaguar,f-type,7,33,2014-2024,255/35R20 295/30R20 275/40R18 245/40R19 275/35R19 265/35R20
mercedes,m-class,16,33,2000-2015,255/65R16 285/50R18 275/55R17 255/60R17 235/65R17 255/50R19
mercedes,s-class-amg,20,33,2001-2021,245/45R18 275/40R18 265/40R18 245/40R19 275/35R19 255/35R20
mercedes-benz,gla,11,33,2015-2026,235/45R19 235/40R20 235/50R19 235/45R20 255/40R20 255/35R21
mercedes-benz,glc,10,33,2016-2026,255/45R20 285/40R20 255/40R21 285/35R21 265/40R21 295/35R21
dodge,grand-caravan,18,32,1996-2013,205/75R14 215/70R15 215/60R17 215/65R15 225/65R16 235/60R16
nissan,pathfinder,22,32,1990-2023,31X10.50R15 235/70R15 245/70R16 245/65R17 265/75R16 245/75R16
porsche,718,8,32,2017-2025,235/35R20 265/35R20 235/45R18 265/45R18
rolls-royce,cullinan,8,32,2019-2026,255/45R22 285/40R22 255/50R21 285/45R21 255/40R23 295/35R23
bmw,4-series,11,31,2014-2026,255/40R18 245/45R18 245/40R19 255/40R19 245/35R20 255/35R20
cadillac,ct4-v,7,31,2020-2026,235/40R18 225/45R17 235/35R19 255/35R18 275/35R18
chevrolet,blazer,14,31,1990-2005,31X10.50R15 225/75R16 265/75R16 245/75R16 235/75R15 205/75R15
chevrolet,s10,10,31,1990-1999,215/65R15 195/75R14 205/75R14 31X10.50R15 235/75R15 235/70R15
chrysler,sebring,15,31,1996-2010,205/65R15 215/55R16 215/50R17 205/55R16 215/65R16 215/55R18
mercedes,cla-class-amg,12,31,2014-2026,235/40R18 235/35R19 245/35R19 255/35R19 245/40R18
ford,f-350,19,30,1990-2026,215/85R16 235/85R16 265/75R16 275/65R20 245/75R17 275/65R18
jaguar,xk,9,30,2007-2015,255/45R18 255/35R20 285/30R20 275/35R19
mercedes,cla,10,30,2014-2025,235/40R18 225/45R18 225/40R19 255/35R19 245/40R18 245/35R19
gmc,canyon,11,29,2004-2019,265/75R15 205/75R15 225/75R15 235/50R17 235/50R18 265/70R17
gmc,yukon,22,29,1992-2026,225/75R16 265/75R16 265/70R16 275/55R20 245/75R16 285/50R20
honda,civic,15,29,1990-2011,175/65R14 165/70R13 185/60R14 175/70R14 175/70R13 185/70R14
