make,model,ymm,rows,years,other_years_matched
ford,f-450-super-duty,26,70,2000-2026,false
mini,clubman,10,58,2008-2026,true
infiniti,qx50,7,42,2008-2026,true
infiniti,qx80,10,40,2004-2013,true
jaguar,xe,7,35,2015-2025,true
subaru,outback,5,35,1995-1999,true
volkswagen,gti,15,33,1990-2005,true
volkswagen,golf,8,32,2007-2026,true
nissan,titan,2,24,2025-2026,true
chevrolet,tahoe,3,21,1992-1994,true
chrysler,pacifica,10,20,2016-2026,true
nissan,maxima,4,19,2015-2026,true
bmw,m5,10,18,1990-2024,true
land rover,defender,18,18,2000-2019,true
nissan,gt-r,3,18,2022-2026,true
subaru,crosstrek,3,18,2013-2015,true
bmw,m3,8,17,1992-2020,true
audi,a3,12,16,1996-2021,true
chrysler,300,4,16,2004-2026,true
ford,fiesta,16,16,2000-2024,true
mazda,cx-9,4,16,2006-2026,true
audi,tt-s,15,15,2008-2023,false
jeep,renegade,3,15,2024-2026,true
mitsubishi,montero,14,14,2007-2021,true
acura,tlx,2,12,2014-2026,true
buick,regal,12,12,2005-2026,true
chevrolet,colorado,2,12,2013-2014,true
honda,ridgeline,2,12,2015-2016,true
hyundai,santa-fe-classic,6,12,2007-2012,false
jaguar,xj,4,12,2010-2022,true
jeep,cherokee,12,12,2002-2013,true
mercedes,a-class-amg,11,12,2013-2026,true
mini,countryman,2,12,2025-2026,true
ford,ranger,6,11,2012-2017,true
maserati,granturismo,5,11,2007-2023,true
audi,s4,3,10,2003-2026,true
chrysler,voyager,10,10,1990-1999,false
infiniti,q50,2,10,2025-2026,true
infiniti,qx60,2,10,2013-2021,true
kia,forte,2,10,2025-2026,true
lexus,is,2,10,1999-2000,true
mercedes-benz,g-class,10,10,1990-1999,true
audi,rs-models,9,9,2017-2026,false
chevrolet,spark,9,9,2005-2023,true
dodge,challenger,1,9,2024-2024,true
jaguar,f-type,3,9,2012-2025,true
lotus,elise,9,9,2012-2021,true
mitsubishi,i,9,9,2005-2013,false
audi,s6,8,8,1996-2019,true
chevrolet,trailblazer,8,8,2001-2020,true
kia,sorento,2,8,2002-2010,true
kia,telluride,1,8,2026-2026,true
mercedes,amg-gt,2,8,2014-2015,true
porsche,cayenne,2,8,2002-2007,true
toyota,fj-cruiser,8,8,2015-2023,true
toyota,gt-86,8,8,2012-2020,false
toyota,mr2-roadster,8,8,2000-2007,false
buick,lacrosse,7,7,2020-2026,true
ford,focus,7,7,2019-2025,true
jaguar,xf,3,7,2007-2025,true
oldsmobile,cutlass,7,7,1990-1996,true
saturn,sc,7,7,1993-1999,false
saturn,sw,7,7,1993-1999,false
toyota,e-z,7,7,2011-2017,false
toyota,etios-valco,7,7,2011-2017,false
toyota,yaris,7,7,2000-2006,true
acura,mdx,1,6,2021-2021,true
audi,rs5,6,6,2010-2020,true
audi,s8,6,6,2000-2019,true
audi,s8l,6,6,2021-2026,false
audi,tt-rs,6,6,2010-2023,true
cadillac,escalade,1,6,2001-2001,true
ford,sportka,6,6,2003-2008,false
ford,taurus,6,6,2020-2025,true
kia,soul,1,6,2026-2026,true
mazda,mx-30,6,6,2020-2025,false
mercedes,eqa,6,6,2021-2026,false
mercedes,eqb,6,6,2021-2026,false
mercedes,s-class,2,6,1992-1993,true
toyota,86,6,6,2012-2021,true
volvo,v90,6,6,2016-2025,true
audi,coupe,5,5,1992-1996,true
audi,q7,1,5,2016-2016,true
buick,encore,5,5,2012-2026,true
buick,verano,5,5,2011-2022,true
cadillac,ct6,5,5,2021-2025,true
chevrolet,malibu,1,5,2026-2026,true
chrysler,grand-voyager,5,5,1990-1999,false
ford,fusion,5,5,2002-2021,true
geo,prizm,5,5,1998-2002,true
lexus,es,1,5,2026-2026,true
lexus,lx,1,5,2012-2012,true
lincoln,mkz,1,5,2006-2006,true
mercedes,cls-class-amg,5,5,2004-2024,true
mercedes-benz,eqb,5,5,2022-2026,false
mercedes-benz,gle,1,5,2015-2015,true
mitsubishi,maven,5,5,2005-2009,false
mitsubishi,mirage,5,5,2012-2026,true
mitsubishi,outlander,1,5,2021-2021,true
nissan,armada,1,5,2004-2004,true
nissan,pathfinder,1,5,2021-2021,true
porsche,boxster,1,5,2026-2026,true
subaru,brz,2,5,2012-2021,true
toyota,c-hr,5,5,2016-2025,true
toyota,land-cruiser,3,5,2012-2023,true
toyota,prius,1,5,2000-2000,true
toyota,vios-fs,5,5,2017-2022,false
audi,80,4,4,1993-1996,true
audi,a4,1,4,2026-2026,true
audi,r8,4,4,2007-2019,true
bmw,6-series,2,4,2003-2011,true
bmw,m4,1,4,2014-2014,true
buick,electra-e5,4,4,2023-2026,false
chrysler,dynasty,4,4,1990-1993,false
chrysler,fifth-avenue,4,4,1990-1993,false
fiat,500,4,4,2020-2023,true
ford,f-250,4,4,1991-1994,true
ford,streetka,4,4,2003-2006,false
geo,metro,4,4,1998-2001,true
gmc,hummer-ev-suv,2,4,2022-2023,true
hyundai,veracruz,4,4,2006-2015,true
lexus,gs,1,4,2012-2012,true
lexus,ls,1,4,2026-2026,true
lotus,evora,4,4,2009-2019,true
mclaren,gt,4,4,2019-2026,true
mercedes,e-class,4,4,1990-1993,true
mercedes,g-class-amg,4,4,2000-2012,true
mercedes,s-class-amg,4,4,2000-2025,true
mercedes-benz,e-class,4,4,1990-1993,true
mercedes-benz,s-class-amg,4,4,2000-2025,true
mini,roadster,4,4,2012-2015,false
mitsubishi,chariot-grandis,4,4,2000-2003,false
nissan,leaf,1,4,2026-2026,true
nissan,versa,1,4,2026-2026,true
toyota,soluna,4,4,2000-2003,false
toyota,xa,4,4,2004-2007,false
acura,zdx,3,3,2009-2025,true
alfa romeo,4c,1,3,2014-2014,true
audi,s6-e-tron,2,3,2024-2026,true
audi,sq6-e-tron,2,3,2024-2026,true
bmw,4-series-gran-coupe,3,3,2013-2021,true
bmw,m8,3,3,2019-2026,true
cadillac,celestiq,3,3,2024-2026,false
chevrolet,trax,3,3,2013-2023,true
ferrari,sf90,3,3,2020-2026,true
ford vans,transit-350-hd,1,3,2018-2018,false
infiniti,q60,3,3,2013-2023,true
infiniti,q70,3,3,2013-2021,true
jaguar,xj220,3,3,1992-1994,false
mazda,mazda5,1,3,2011-2011,true
mercedes,cls-class,3,3,2004-2024,true
mercedes,m-class-amg,3,3,2004-2006,true
mercedes,sl-class-amg,3,3,2001-2010,true
mercedes,slk-class-amg,3,3,2000-2011,true
mercedes-benz,m-class-amg,3,3,2004-2006,true
polestar,polestar-2,3,3,2020-2026,true
toyota,avalon,3,3,2023-2025,true
toyota,grand-hiace,3,3,2000-2002,false
volkswagen,arteon,3,3,2017-2025,true
acura,nsx,2,2,2016-2023,true
aston martin,db11,2,2,2016-2024,true
aston martin,vantage,2,2,2005-2024,true
audi,a6-e-tron,2,2,2024-2026,true
audi,a7,2,2,2011-2026,true
audi,e-tron-s,2,2,2020-2021,true
audi,q6-e-tron,2,2,2024-2026,true
audi,q8-e-tron,2,2,2023-2025,true
audi,q8-sportback-e-tron,2,2,2023-2025,true
audi,rs6,2,2,2002-2020,true
audi,rs7,2,2,2019-2020,true
bmw,5-series,1,2,1996-1996,true
bmw,x4,2,2,2014-2026,true
bmw,z4,2,2,2002-2017,true
buick,envision,2,2,2014-2015,true
chevrolet,bolt-euv,1,2,2021-2021,true
chevrolet,silverado-3500,2,2,2015-2016,true
dodge,hornet,2,2,2022-2026,true
ferrari,roma,2,2,2020-2026,true
fiat,500x,2,2,2024-2025,true
gmc,suburban,2,2,1990-1991,true
honda,crosstour,2,2,2011-2016,true
jaguar,e-pace,2,2,2017-2025,true
jaguar,f-pace,2,2,2015-2016,true
jaguar,i-pace,2,2,2021-2025,true
jaguar,x-type,2,2,2001-2009,true
kia,sedona,1,2,2013-2013,true
kia,sportage,2,2,2003-2004,true
kia,stinger,2,2,2017-2024,true
land rover,range-rover-velar,1,2,2017-2017,true
lincoln,mkc,2,2,2014-2020,true
lucid,gravity,1,2,2024-2024,false
mazda,b2300,2,2,1998-1999,true
mazda,cx-5,2,2,2011-2012,true
mclaren,570s,2,2,2015-2021,true
mercedes,e-class-amg,2,2,2017-2024,true
mercedes,eqe,2,2,2022-2026,true
mercedes,g-class,2,2,2000-2001,true
mercedes,gla-class,2,2,2013-2014,true
mercedes,gla-class-amg,2,2,2014-2020,true
mercedes,glk-class,2,2,2008-2009,true
mercedes-benz,cls-class-amg,2,2,2022-2023,true
mercedes-benz,e-class-amg,2,2,2017-2024,true
mercedes-benz,g-class-amg,2,2,2002-2012,true
mercedes-benz,s-class,2,2,1992-1993,true
mitsubishi,3000-gt,2,2,2000-2001,false
mitsubishi,destinator,2,2,2025-2026,false
mitsubishi,eclipse-cross,2,2,2017-2021,true
mitsubishi,l400,2,2,2000-2001,false
plymouth,prowler,2,2,1998-2002,true
polestar,polestar-1,2,2,2020-2021,false
porsche,cayman,2,2,2005-2013,true
ram,c/v,2,2,2016-2017,true
saab,9-3,2,2,1998-2012,true
saab,9-5,2,2,1998-2012,true
subaru,baja,2,2,2002-2007,true
subaru,wrx-sti,1,2,2014-2014,true
tesla,model-x,1,2,2015-2015,true
toyota,bz4x,2,2,2022-2026,true
toyota,corolla-cross,2,2,2020-2021,true
volkswagen,arteon-sr,2,2,2024-2025,true
volvo,c40,2,2,2021-2025,true
volvo,ec40,2,2,2024-2026,true
volvo,ex30,2,2,2023-2024,true
volvo,ex90,2,2,2023-2024,true
volvo,v50,2,2,2004-2012,true
acura,ilx,1,1,2012-2012,true
acura,rdx,1,1,2006-2006,true
acura,rl,1,1,2013-2013,true
acura,tsx,1,1,2003-2003,true
aston martin,dbx,1,1,2020-2020,true
audi,a5,1,1,2007-2007,true
audi,cabriolet,1,1,2000-2000,true
audi,q5,1,1,2008-2008,true
audi,q6l-sportback-e-tron,1,1,2025-2025,false
audi,rs3,1,1,2021-2021,true
audi,s3,1,1,2021-2021,true
audi,s5,1,1,2007-2007,true
audi,tt,1,1,2007-2007,true
bentley,bentayga,1,1,2016-2016,true
bentley,continental-gt,1,1,2019-2019,true
bentley,flying-spur,1,1,2019-2019,true
bmw,2-series,1,1,2013-2013,true
bmw,4-series,1,1,2013-2013,true
bmw,i4,1,1,2021-2021,true
bmw,i5,1,1,2023-2023,true
bmw,i7,1,1,2022-2022,true
bmw,i8,1,1,2013-2013,true
bmw,m6,1,1,2005-2005,true
bmw,x4-m,1,1,2026-2026,true
buick,enclave,1,1,2007-2007,true
cadillac,vistiq,1,1,2025-2025,true
chevrolet,caprice,1,1,2017-2017,true
chevrolet,volt,1,1,2010-2010,true
chrysler,200,1,1,2010-2010,true
chrysler,crossfire,1,1,2003-2003,true
chrysler,pt-cruiser,1,1,2000-2000,true
dodge,caliber,1,1,2006-2006,true
dodge,charger,1,1,2005-2005,true
dodge,dart,1,1,2012-2012,true
dodge,durango,1,1,2010-2010,true
dodge,nitro,1,1,2012-2012,true
dodge,ram-van-b1500,1,1,1994-1994,true
dodge,ram-van-b2500,1,1,1994-1994,true
dodge,ram-van-b3500,1,1,1994-1994,true
ferrari,488,1,1,2015-2015,true
ferrari,f8,1,1,2019-2019,true
fiat,124-spider,1,1,2016-2016,true
ford,escape,1,1,2000-2000,true
ford,flex,1,1,2008-2008,true
ford,maverick,1,1,2021-2021,true
ford,mustang-mach-e,1,1,2020-2020,true
gmc,acadia,1,1,2006-2006,true
gmc,sonoma,1,1,1990-1990,true
gmc,terrain,1,1,2009-2009,true
honda,clarity,1,1,2016-2016,true
honda,insight,1,1,2009-2009,true
honda,prelude,1,1,2025-2025,true
hummer,h1,1,1,2005-2005,true
hyundai,kona,1,1,2017-2017,true
hyundai,santa-fe,1,1,2000-2000,true
hyundai,tucson,1,1,2004-2004,true
hyundai,veloster,1,1,2011-2011,true
infiniti,qx70,1,1,2013-2013,true
jeep,gladiator,1,1,2019-2019,true
jeep,wrangler,1,1,1996-1996,true
lamborghini,huracan,1,1,2014-2014,true
land rover,defender-90,1,1,1993-1993,true
land rover,discovery-sport,1,1,2014-2014,true
land rover,range-rover-evoque,1,1,2011-2011,true
land rover,range-rover-sport,1,1,2005-2005,true
lexus,gx,1,1,2002-2002,true
lexus,lc,1,1,2017-2017,true
lincoln,corsair,1,1,2019-2019,true
lincoln,mkt,1,1,2009-2009,true
lincoln,mkx,1,1,2006-2006,true
lotus,emira,1,1,2022-2022,true
maserati,ghibli,1,1,2013-2013,true
maserati,levante,1,1,2016-2016,true
mazda,3,1,1,2003-2003,true
mazda,b3000,1,1,1997-1997,true
mazda,cx-30,1,1,2019-2019,true
mazda,cx-50,1,1,2022-2022,true
mazda,cx-90,1,1,2023-2023,true
mazda,mazda3,1,1,2003-2003,true
mazda,miata,1,1,1998-1998,true
mazda,rx-7,1,1,1992-1992,true
mclaren,720s,1,1,2017-2017,true
mclaren,artura,1,1,2022-2022,true
mercedes,cl-class-amg,1,1,2007-2007,true
mercedes,cla-class,1,1,2013-2013,true
mercedes,cla-class-amg,1,1,2013-2013,true
mercedes,eqs,1,1,2021-2021,true
mercedes,glb-class,1,1,2019-2019,true
mercedes,sl-class,1,1,2010-2010,true
mercedes,slc-class,1,1,2016-2016,true
mercedes-benz,sl-class,1,1,2010-2010,true
mercedes-benz,sl-class-amg,1,1,2010-2010,true
mercedes-benz,slc-class,1,1,2016-2016,true
