year,make,model,n_rows,our_union,tried,other_years_matched
2012,acura,ilx,1,205/55R16 215/45R17,ILX,true
2021,acura,mdx,6,255/55R19 275/45R20 275/40R21,MDX | MDX A-Spec | MDX Advance | MDX Technology | MDX Type S | MDX Type,true
2016,acura,nsx,1,245/35R19 305/30R20,NSX,true
2023,acura,nsx,1,245/40R19 265/35R19 305/30R19 305/35R20,NSX,true
2006,acura,rdx,1,235/60R18,RDX,true
2013,acura,rl,1,245/45R18,RL,true
2014,acura,tlx,6,225/55R17 245/45R18 225/50R18,TLX | TLX A-Spec | TLX Advance | TLX Technology | TLX Type S | TLX Type | TLX 2.4i,true
2026,acura,tlx,6,255/40R19 235/50R18 255/35R20,TLX | TLX A-Spec | TLX Advance | TLX Technology | TLX Type S | TLX Type,true
2003,acura,tsx,1,215/55R17,TSX,true
2009,acura,zdx,1,255/50R19,ZDX,true
2023,acura,zdx,1,265/45R21 275/40R22,ZDX,true
2025,acura,zdx,1,265/45R21 275/40R22,ZDX,true
2014,alfa romeo,4c,3,205/45R17 235/40R18 205/40R18 235/35R19,4C | 4C Spider,true
2016,aston martin,db11,1,255/40R20 295/35R20 265/35R20 305/30R20,Db11 | DB11 DB11 V8/V12 | DB11 DB11,true
2024,aston martin,db11,1,255/40R20 295/35R20 265/35R20 305/30R20,Db11 | DB11 DB11 V8/V12 | DB11 DB11,true
2020,aston martin,dbx,1,285/40R22 325/35R22 295/35R23 325/30R23,DBX | DBX707 | DBX DBX/DBX707,true
2005,aston martin,vantage,1,235/45R18 275/40R18 235/40R19 275/35R19 255/35R19 305/30R19,V8 Vantage | Vantage | V12 Vantage | V 8 Vantage | V 12 Vantage | Vantage V8/V12 Vantage (2nd Gen) | Vantage V8/V12,true
2024,aston martin,vantage,1,255/40R20 295/35R20 265/35R20 305/30R20 275/35R21 325/30R21,Vantage | V8 Vantage | V12 Vantage | V 8 Vantage | V 12 Vantage | Vantage Vantage (3rd Gen) | Vantage Vantage,true
1993,audi,80,1,185/65R14 195/60R15 195/65R15,80 | 80 Quattro | 80 B4,true
1994,audi,80,1,185/65R14 195/60R15 195/65R15,80 | 80 Quattro | 80 B4,true
1995,audi,80,1,185/65R14 195/60R15 195/65R15,80 | 80 Quattro | 80 B4,true
1996,audi,80,1,185/65R14 195/60R15 195/65R15,80 | 80 Quattro | 80 B4,true
1996,audi,a3,1,195/65R15 205/55R16 225/45R17,A3 | A3 Quattro | A3 Sportback,true
1997,audi,a3,1,195/65R15 205/55R16 225/45R17,A3 | A3 Quattro | A3 Sportback,true
1998,audi,a3,1,195/65R15 205/55R16 225/45R17,A3 | A3 Quattro | A3 Sportback,true
1999,audi,a3,1,195/65R15 205/55R16 225/45R17,A3 | A3 Quattro | A3 Sportback,true
2000,audi,a3,1,195/65R15 205/55R16 225/45R17,A3 | A3 Quattro | A3 Sportback,true
2001,audi,a3,1,195/65R15 205/55R16 225/45R17,A3 | A3 Quattro | A3 Sportback,true
2002,audi,a3,1,195/65R15 205/55R16 225/45R17,A3 | A3 Quattro | A3 Sportback,true
2003,audi,a3,1,195/65R15 205/55R16 225/45R17,A3 | A3 Quattro | A3 Sportback,true
2004,audi,a3,3,225/45R17 225/40R18,A3 | A3 Quattro | A3 Sportback | A3 2.0T | A3 3.2 Quattro | A3 3.2,true
2005,audi,a3,3,225/45R17 225/40R18,A3 | A3 Quattro | A3 Sportback | A3 2.0T | A3 3.2 Quattro | A3 3.2,true
2014,audi,a3,1,205/55R16 225/45R17 225/40R18 235/35R19,A3 | A3 Quattro | A3 Sportback,true
2021,audi,a3,1,225/45R17 225/40R18 235/35R19,A3 | A3 Quattro | A3 Sportback,true
2026,audi,a4,4,225/50R17 245/40R18 245/35R19 255/35R19,A4 | A4 Quattro | A4 allroad | A4 Avant | A4 40 TFSI | A4 40 | A4 45 TFSI | A4 45 | A4 45 TFSI quattro,true
2007,audi,a5,1,245/45R17 245/40R18 255/35R19,A5 Quattro | A5 | A5 Sportback | A5 Cabriolet | A5 Coupe,true
2024,audi,a6-e-tron,1,245/45R19 255/40R20 265/35R21,A6 e-tron | A6 Sportback e-tron | A6 E Tron,true
2026,audi,a6-e-tron,1,225/55R18 245/45R19 255/40R20 265/35R21,A6 e-tron | A6 Sportback e-tron | A6 E Tron,true
2011,audi,a7,1,245/45R18 255/40R19 255/35R20,A7 Sportback | A7 Quattro | A7 | A7 Premium Plus,true
2026,audi,a7,1,255/40R19 255/35R20,A7 Sportback | A7 Quattro | A7 | A7 Premium Plus,true
2000,audi,cabriolet,1,195/65R15,Cabriolet | 80 Cabriolet | 90 Cabriolet,true
1992,audi,coupe,1,195/60R15 205/60R15,Coupe Quattro | Coupe | Coupequattro | 80 Coupe | Coupe Quattro B4,true
1993,audi,coupe,1,195/60R15 205/60R15,Coupe Quattro | Coupe | Coupequattro | 80 Coupe | Coupe Quattro B4,true
1994,audi,coupe,1,195/60R15 205/60R15,Coupe Quattro | Coupe | Coupequattro | 80 Coupe | Coupe Quattro B4,true
1995,audi,coupe,1,195/60R15 205/60R15,Coupe Quattro | Coupe | Coupequattro | 80 Coupe | Coupe Quattro B4,true
