id,year,make,model,trim,source,range,our_bolt,rk_bolt,bolt,our_bore,rk_bore,bore,our_stud,rk_stud,stud,rk_ref
"e64759b7-043a-4b5a-bf42-2501de884b3c","2000","daewoo","leganza","Base","api_import","tight","5x114.3","4x100|5x114.3","agree","67.1","56.1","disagree","M12x1.5","M12x1.5","agree","DAEWOO LEGANZA, PRINCE 1997 >"
"596190fa-600d-4024-841c-8bfb0a765744","2001","daewoo","leganza","Base","api_import","tight","5x114.3","4x100|5x114.3","agree","67.1","56.1","disagree","M12x1.5","M12x1.5","agree","DAEWOO LEGANZA, PRINCE 1997 >"
"b344cf7c-33c4-4460-b779-6de9ea2f0306","2002","daewoo","leganza","Base","api_import","tight","5x114.3","4x100|5x114.3","agree","67.1","56.1","disagree","M12x1.5","M12x1.5","agree","DAEWOO LEGANZA, PRINCE 1997 >"
"e2572eee-b3e8-45e2-83b9-38c48ca30faa","1999","daewoo","nubira","Base","90s-research-batch","tight","4x114.3","4x100","disagree","56.6","56.1","disagree","M12x1.5","M12x1.5","agree","DAEWOO LANOS, NUBIRA 1997 >"
"5d396227-43cc-4c93-ba07-28d6fba11d3b","1991","chevrolet","caprice","Base","generation_template","tight","5x127","5x127","agree","78.3","78.1","disagree","M12x1.5","M12x1.5","agree","CHEVROLET CAPRICE CLASSIC 1991-97"
"104d191f-df3b-4a35-8026-8b324a657056","1992","chevrolet","caprice","Base","generation_template","tight","5x127","5x127","agree","78.3","78.1","disagree","M12x1.5","M12x1.5","agree","CHEVROLET CAPRICE CLASSIC 1991-97"
"f39620e2-9abd-4ba2-ba5d-4474d2725836","1993","chevrolet","caprice","Base","generation_template","tight","5x127","5x127","agree","78.3","78.1","disagree","M12x1.5","M12x1.5","agree","CHEVROLET CAPRICE CLASSIC 1991-97"
"477ee60c-8389-4b35-a08f-3f96b15cff60","1994","chevrolet","caprice","Base","generation_template","tight","5x127","5x127","agree","78.3","78.1","disagree","M12x1.5","M12x1.5","agree","CHEVROLET CAPRICE CLASSIC 1991-97"
"6da6ac8e-2a17-44e8-adf0-40101e359d03","1996","chevrolet","caprice","Base","generation_template","tight","5x127","5x127","agree","78.3","78.1","disagree","M12x1.5","M12x1.5","agree","CHEVROLET CAPRICE CLASSIC 1991-97"
"f82c29bb-e3bc-4396-9212-5a639b34033f","2003","audi","s8","Base","trim-research","tight","5x112","5x112","agree","66.5","57.1","disagree","M14x1.5","M14x1.5","agree","AUDI S8 (LARGER CALIPERS) 2001 > ; AUDI S8 (LARGER CALIPERS) 2001-07"
