bp,make,model,years,yearFrom,yearTo,bolt,stud,bore,torqueMin,torqueMax,offset,reason
"3 X 100","Honda Sport","ATC110","1979-81","1979","1981","3 X 100","","","","","","make-not-in-db"
"3 X 100","Honda Sport","ATC185S","1981","1981","1981","3 X 100","","","","","","make-not-in-db"
"3 X 100","Honda Sport","ATC250R","1981","1981","1981","3 X 100","","","","","","make-not-in-db"
"3 X 100","Honda Sport","ATC70","1982-85","1982","1985","3 X 100","","","","","","make-not-in-db"
"3 X 100","Honda Sport","ATC90","1971-78","1971","1978","3 X 100","","","","","","make-not-in-db"
"3 X 100","Honda Sport","FL250 Odyssey","1977-80","1977","1980","3 X 100","","","","","","make-not-in-db"
"3 X 100","Honda Sport","FL250 Odyssey","1981","1981","1981","3 X 100","","","","","","make-not-in-db"
"3 X 100","Honda Sport","TRX70 Fourtrax","1986-87","1986","1987","3 X 100","","","","","","make-not-in-db"
"4 X 85","Honda Sport","TRX90","2006","2006","2006","4 X 85","","","","","","make-not-in-db"
"4 X 85","Honda Sport","TRX90 EX","2007-09","2007","2009","4 X 85","","","","","","make-not-in-db"
"4 X 85","Honda Sport","TRX90 Fourtrax","1993-09","1993","2009","4 X 85","","","","","","make-not-in-db"
"4 X 85","Honda Sport","TRX90 Sportrax","2002-05","2002","2005","4 X 85","","","","","","make-not-in-db"
"4 X 98","YUGO","2.2, 3.0 CL","1986-91","1986","1991","4 X 98","12 X 1.25","","75","85","","make-not-in-db"
"4 X 98","YUGO","GV","1986-91","1986","1991","4 X 98","12 X 1.25b","","75","85","","make-not-in-db"
"4 X 100","AMC EAGLE","ALLIANCE/ ENCORE","1988-92","1988","1992","4 X 100","12 X 1.5","","75","85","","make-not-in-db"
"4 X 100","AMC EAGLE","SUMMIT","1994-96","1994","1996","4 X 100","12 X 1.5","56.1","75","85","","make-not-in-db"
"4 X 100","AUDI","4000","1979-84","1979","1984","4 X 100","14 X 1.5b","57.1","85","95","","model-not-matched"
"4 X 100","AUDI","4000S","1976-84","1976","1984","4 X 100","12 X 1.5b","57.1","75","85","","model-not-matched"
"4 X 100","CHEVROLET","AVEO","2004-08","2004","2008","4 X 100","12 X 1.5","56.1","75","85","","model-not-matched"
"4 X 100","CHEVROLET","CHEVETTE","1975-86","1975","1986","4 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"4 X 100","CHEVROLET","COBALT","2005-08","2005","2008","4 X 100","12 X 1.5","57.1","75","85","","model-not-matched"
"4 X 100","CHEVROLET","NOVA/SPECTRUM","1986-89","1986","1989","4 X 100","12 X 1.5","54.1","75","85","","model-not-matched"
"4 X 100","CHEVROLET","PRIZM (GEO PRIZM)","1990-03","1990","2003","4 X 100","12 X 1.25","54.1","75","85","","model-not-matched"
"4 X 100","CHEVROLET/GMC","AVEO","2004 >","2004","2027","4 X 100","12 X 1.5","56.1","75","85","","make-not-in-db"
"4 X 100","CHEVROLET/GMC","CHEVETTE","1975-86","1975","1986","4 X 100","12 X 1.5","57.1","75","85","","make-not-in-db"
"4 X 100","CHEVROLET/GMC","NOVA/ SPECTRUM","1986-89","1986","1989","4 X 100","12 X 1.5","54.1","75","85","","make-not-in-db"
"4 X 100","CHEVROLET/GMC","PRIZM","1990 >","1990","2027","4 X 100","10 X 1.25","54.1","45","55","","make-not-in-db"
