id,year,make,model,display_trim,source,rule,first_valid_year
"e0955694-3d8c-40c0-bb94-214cd9ff14e7","2012","honda","ridgeline","Sport, RTL, RTL-E, Black Edition, TrailSport","trim-research","TrailSport exists 2022+","2022"
"58a3e446-cca9-45bd-8b66-f10158a30a6a","2012","honda","ridgeline","TrailSport","trim-research","TrailSport exists 2022+","2022"
"8346c76a-3a11-481e-8f28-6eba3fa9756e","2013","honda","ridgeline","Sport, RTL, RTL-E, Black Edition, TrailSport","trim-research","TrailSport exists 2022+","2022"
"4e606696-4a64-4dfd-8aac-93d8a853b6c0","2014","honda","ridgeline","Black Edition","trim-research","Black Edition exists 2017+","2017"
"79a88cf6-81fd-4a2e-b3f6-2b36e3b3c488","2014","honda","ridgeline","Sport, RTL, RTL-E, Black Edition, TrailSport","trim-research","TrailSport exists 2022+","2022"
"cf2b09c6-57ca-40a3-a85e-daf3da1abbdc","2016","subaru","outback","Base, Premium, Limited, Touring, Onyx Edition XT, Wilderness","cache-import","Wilderness exists 2022+","2022"
"02bf187e-bc55-41e2-a82c-83f9afb4b6de","2014","honda","ridgeline","TrailSport","trim-research","TrailSport exists 2022+","2022"
"39c53092-8764-42d7-9b97-9ff974043578","2012","volkswagen","passat","S, SE, R-Line, SEL Premium","cache-import","SEL Premium exists 2015+","2015"
"88f27221-dca1-4a54-95f7-448e837146c6","2012","volkswagen","passat","SEL Premium","cache-import [expanded]","SEL Premium exists 2015+","2015"
"aeb99747-7546-476b-b158-3be838807768","2017","honda","ridgeline","Sport, RTL, RTL-E, Black Edition, TrailSport","trim-research","TrailSport exists 2022+","2022"
"35d30205-0c0a-46b2-9113-4a1532991e54","2017","honda","ridgeline","TrailSport","trim-research","TrailSport exists 2022+","2022"
"09901ee7-7721-44d5-b3d9-2131ba9d3a91","2019","honda","ridgeline","Sport, RTL, RTL-E, Black Edition, TrailSport","trim-research","TrailSport exists 2022+","2022"
"78681e78-7d8a-4f44-be75-f2017a8b8d9c","2019","honda","ridgeline","TrailSport","trim-research","TrailSport exists 2022+","2022"
"ff118b28-6ac3-40af-bd64-91f0a17a294e","2020","honda","ridgeline","TrailSport","trim-research","TrailSport exists 2022+","2022"
"5962ef9e-1d2c-4b9b-8d86-b912663da01a","2021","honda","ridgeline","Sport, RTL, RTL-E, Black Edition, TrailSport","trim-research","TrailSport exists 2022+","2022"
"253837c6-194a-4614-ab00-54663a994f45","2021","honda","ridgeline","TrailSport","trim-research","TrailSport exists 2022+","2022"
"272640da-6000-412d-97ea-20c627bc255f","2004","chevrolet","colorado","WT, LT, Z71, ZR2, Trail Boss","generation_template","Trail Boss exists 2019+","2019"
"e8665ef3-ede5-46d4-8a18-0619f43978e8","2005","chevrolet","colorado","WT, LT, Z71, ZR2, Trail Boss","generation_template","Trail Boss exists 2019+","2019"
"dbd0d780-50f6-4a2f-a69a-8f411f3abcd5","2008","chevrolet","colorado","WT, LT, Z71, ZR2, Trail Boss","generation_template [filled from 2010 colorado]","Trail Boss exists 2019+","2019"
"517bff93-782f-45f8-b05e-036b6c5bd9fd","2009","chevrolet","colorado","WT, LT, Z71, ZR2, Trail Boss","generation_template [filled from 2010 colorado]","Trail Boss exists 2019+","2019"
"8ce39c4a-7f8a-4ad3-8d45-d8b1a3189859","2011","chevrolet","colorado","WT, LT, Z71, ZR2, Trail Boss","generation_template","Trail Boss exists 2019+","2019"
"563efdb5-15af-430f-a0c5-5a9325c8d6f7","2012","chevrolet","colorado","WT, LT, Z71, ZR2, Trail Boss","generation_template","Trail Boss exists 2019+","2019"
"d13d411b-b011-4cfa-9caa-71ff9a202fc7","2015","chevrolet","colorado","WT, LT, Z71, ZR2, Trail Boss","generation_template","Trail Boss exists 2019+","2019"
"434d53b9-ec01-47c6-8ba6-03071dd1f0cd","2016","chevrolet","colorado","WT, LT, Z71, ZR2, Trail Boss","generation_template","Trail Boss exists 2019+","2019"
"be405706-e8ea-453c-9689-3ae87c0dd72b","2017","chevrolet","colorado","Trail Boss","generation_template [expanded]","Trail Boss exists 2019+","2019"
"929199a2-c39f-467e-be6d-1dd365d1ceb9","2017","chevrolet","colorado","WT, LT, Z71, ZR2, Trail Boss","generation_template","Trail Boss exists 2019+","2019"
"ec9a5dc1-05e3-4d6f-b666-e4b95c61d026","2005","chevrolet","equinox","LS, LT, RS, Premier","generation_template","Premier exists 2016+","2016"
"7132ce9b-e372-4172-b4de-224134db863d","2005","chevrolet","equinox","Premier","generation_template [expanded]","Premier exists 2016+","2016"
"e15ce42e-c73d-45da-a555-4fe3b03bebda","2006","chevrolet","equinox","Premier","generation_template [expanded]","Premier exists 2016+","2016"
"757530cc-179a-45a4-ae4e-e614430381a6","2007","chevrolet","equinox","LS, LT, RS, Premier","generation_template","Premier exists 2016+","2016"
"980d764b-3ddf-46f3-a1db-b2e28bec34f9","2007","chevrolet","equinox","Premier","generation_template [expanded]","Premier exists 2016+","2016"
"7fcf23e4-30e9-4b09-8e0d-9959af63a282","2008","chevrolet","equinox","LS, LT, RS, Premier","generation_template","Premier exists 2016+","2016"
"0242236e-a523-4df1-96b7-c92d60b3ccad","2008","chevrolet","equinox","Premier","generation_template [expanded]","Premier exists 2016+","2016"
"1dd23346-a76c-4ccf-b086-0f76a981724f","2009","chevrolet","equinox","LS, LT, RS, Premier","generation_template","Premier exists 2016+","2016"
"0836a59b-0935-424f-911f-baeaed21e242","2009","chevrolet","equinox","Premier","generation_template [expanded]","Premier exists 2016+","2016"
"64e2b1be-9aa2-4a07-be00-211a87aea440","2010","chevrolet","equinox","LS, LT, RS, Premier","generation_template [filled from 2014 equinox]","Premier exists 2016+","2016"
"227d0fc2-c1fe-48a0-a4dd-3eb74c7a898a","2011","chevrolet","equinox","Premier","trim-research","Premier exists 2016+","2016"
"3c73d31c-9332-40b5-8e91-5ff9881ebdae","2012","chevrolet","equinox","LS, LT, RS, Premier","generation_template [filled from 2011 equinox]","Premier exists 2016+","2016"
"1c3bac69-07f6-4da2-ac96-2387b4a3e8da","2012","chevrolet","equinox","Premier","trim-research","Premier exists 2016+","2016"
"e736701f-8332-48ed-8e32-a03ba3c0a226","2014","chevrolet","equinox","LS, LT, RS, Premier","generation_template","Premier exists 2016+","2016"
"4640e08d-b75a-423b-aa6b-f97445b36845","2014","chevrolet","equinox","Premier","trim-research","Premier exists 2016+","2016"
"412228ff-729f-45ed-bb23-920f1635a4d5","2015","chevrolet","equinox","LS, LT, RS, Premier","generation_template [filled from 2014 equinox]","Premier exists 2016+","2016"
"4a5ccde9-c501-4a84-8333-fe27f549c1bc","2015","chevrolet","equinox","Premier","trim-research","Premier exists 2016+","2016"
"6476b78a-62ad-4076-9775-f7f848cafcd5","2021","subaru","outback","Base, Premium, Limited, Touring, Onyx Edition XT, Wilderness","cache-import","Wilderness exists 2022+","2022"
"9c11c2c2-26f1-4387-b6e7-57818d36b750","2008","lincoln","mkz","Premiere, Select, Reserve, Black Label","generation-baseline","Black Label exists 2015+","2015"
"a51a022c-9c23-4673-875c-f430904be343","1994","chevrolet","impala","LS, LT, Premier","generation_template","Premier exists 2016+","2016"
"a5a32664-1e72-44b3-a690-3e05a4dc385c","1994","chevrolet","impala","Premier","generation_template [expanded]","Premier exists 2016+","2016"
"ada7a8a3-0e8f-459c-b375-785c27451047","1995","chevrolet","impala","LS, LT, Premier","generation_template","Premier exists 2016+","2016"
"c288cf66-c906-4101-bb12-754abf848197","1995","chevrolet","impala","Premier","generation_template [expanded]","Premier exists 2016+","2016"
"27353722-171d-44a2-80be-be87957161f9","1996","chevrolet","impala","LS, LT, Premier","generation_template","Premier exists 2016+","2016"
"d5747bea-380c-4362-a49f-83fd198be6fa","1996","chevrolet","impala","Premier","generation_template [expanded]","Premier exists 2016+","2016"
"4f738210-9ff7-4909-be0b-c172d4f456aa","2000","chevrolet","impala","LS, LT, Premier","generation_template","Premier exists 2016+","2016"
"13f36a2e-1b9e-4749-86b0-d3cde657e5e4","2000","chevrolet","impala","Premier","generation_template [expanded]","Premier exists 2016+","2016"
"4c0d02fd-00c8-44ea-8c33-a07a5c2db893","2001","chevrolet","impala","LS, LT, Premier","generation_template","Premier exists 2016+","2016"
"28327158-a0f1-4ae5-a088-61eabdd83490","2002","chevrolet","impala","LS, LT, Premier","generation_template","Premier exists 2016+","2016"
"d9cd8365-6327-4665-bd3e-65c22f27272b","2002","chevrolet","impala","Premier","generation_template [expanded]","Premier exists 2016+","2016"
"57c7ceb9-f572-4002-b008-772c8dbf2911","2003","chevrolet","impala","LS, LT, Premier","generation_template","Premier exists 2016+","2016"
"a6e291c1-2a3b-47e4-ada4-da3e45d453d7","2003","chevrolet","impala","Premier","generation_template [expanded]","Premier exists 2016+","2016"
"c43491c8-4a7c-4613-9764-750c18ea94db","2004","chevrolet","impala","LS, LT, Premier","generation_template","Premier exists 2016+","2016"
"22eb8b41-02d5-489e-870d-65dd546fd521","2004","chevrolet","impala","Premier","generation_template [expanded]","Premier exists 2016+","2016"
"a8397a13-c8fb-4520-8b49-db5bd588490f","2005","chevrolet","impala","LS, LT, Premier","generation_template","Premier exists 2016+","2016"
"e316ae2b-86c0-49be-84e3-dc88b18a456a","2005","chevrolet","impala","Premier","generation_template [expanded]","Premier exists 2016+","2016"
"e66e2706-5e3d-48bc-b1b0-8e3826fc5f2d","2006","chevrolet","impala","LS, LT, Premier","generation_template [filled from 2010 impala]","Premier exists 2016+","2016"
"0d553341-cfbb-4805-b3bc-cc696ef3975d","2006","chevrolet","impala","Premier","generation_template [filled from 2010  [expanded]","Premier exists 2016+","2016"
"52313860-1a3d-4f81-9ce5-9ee8ceb8d5cf","2007","chevrolet","impala","LS, LT, Premier","generation_template [filled from 2006 impala]","Premier exists 2016+","2016"
"b198f331-fcd8-4888-a3fa-2ea16cc00eab","2007","chevrolet","impala","Premier","generation_template [filled from 2006  [expanded]","Premier exists 2016+","2016"
"6355af3e-3e39-47c5-bafd-5c3f4dd0b9eb","2008","chevrolet","impala","LS, LT, Premier","generation_template [filled from 2007 impala]","Premier exists 2016+","2016"
"8028a220-5d0e-4a31-84a7-37d9acd871cc","2008","chevrolet","impala","Premier","generation_template [filled from 2007  [expanded]","Premier exists 2016+","2016"
"1e1f06cc-aefa-4691-9c0c-e791deaaa223","2009","chevrolet","impala","LS, LT, Premier","generation_template [filled from 2010 impala]","Premier exists 2016+","2016"
"b855d463-b365-4430-9394-a2334ce5287a","2009","chevrolet","impala","Premier","generation_template [filled from 2010  [expanded]","Premier exists 2016+","2016"
