id,year,make,model,trim,tire_count,wheel_count,package_count,category,failure_reason,root_cause,tire_sizes,bolt_pattern,wheel_diams
b04b0ad9-34cf-479e-9134-34af5e661ccd,2019,Lexus,lc,LC 500,0,0,0,D,vintage sizes only: 245/40RF21 275/35RF21,vintage_tire_size,245/40RF21|275/35RF21,5x114.3,21
9e1f88ba-61ad-4c7e-9168-fc21a5604c82,2019,Lexus,lc,"LC 500, LC 500h",0,0,0,D,vintage sizes only: 245/40RF21 275/35RF21,vintage_tire_size,245/40RF21|275/35RF21,5x114.3,21
788cf637-433b-4b94-8b9c-bdb9ac780490,2022,Lexus,lc,Base,0,0,0,D,vintage sizes only: 245/40RF21 275/35RF21,vintage_tire_size,245/40RF21|275/35RF21,5x114.3,21
1cee2b34-7189-41f7-8ede-109cc36fdf08,2023,Lexus,lc,Base,0,0,0,D,vintage sizes only: 245/40RF21 275/35RF21,vintage_tire_size,245/40RF21|275/35RF21,5x114.3,21
cfd952c9-43c8-4ad0-8e0d-56a7cbf4dd00,2024,Lexus,lc,Base,0,0,0,D,vintage sizes only: 245/40RF21 275/35RF21,vintage_tire_size,245/40RF21|275/35RF21,5x114.3,21
25dc90c6-5e08-4b25-82d5-2d3b01e01c30,2025,Lexus,lc,Base,0,0,0,D,vintage sizes only: 245/40RF21 275/35RF21,vintage_tire_size,245/40RF21|275/35RF21,5x114.3,21
0a869b26-aada-4e55-b546-028f2a3c97ef,2026,Lexus,lc,Base,0,0,0,D,vintage sizes only: 245/40RF21 275/35RF21,vintage_tire_size,245/40RF21|275/35RF21,5x114.3,21
2ca4d76a-2177-41e9-b131-30145ea6d0a4,1964,Plymouth,Valiant,Base,0,0,0,D,vintage sizes only: 6.50-13 7.00-13,vintage_tire_size,6.50-13|7.00-13,5x101.6,13
b3d55e15-820d-448e-b9da-6b3dbcc735a0,1965,Plymouth,Valiant,Base,0,0,0,D,vintage sizes only: 6.50-13 6.95-14 7.00-13,vintage_tire_size,6.50-13|6.95-14|7.00-13,5x101.6,13|14
20a712db-e097-401f-bb75-a31934f141d6,1966,Plymouth,Valiant,Base,0,0,0,D,vintage sizes only: 6.50-13 6.95-14 7.00-13,vintage_tire_size,6.50-13|6.95-14|7.00-13,5x101.6,13|14
c5fd35e4-013a-4755-bb38-cf4fd3596c3d,1967,Plymouth,Valiant,Base,0,0,0,D,vintage sizes only: 6.50-13 7.00-13,vintage_tire_size,6.50-13|7.00-13,5x101.6,13|14
04d44b2b-f9f4-4599-a5aa-a2ad4e34edce,1968,Plymouth,Valiant,Base,0,0,0,D,vintage sizes only: 6.50-13 6.95-14 7.00-13,vintage_tire_size,6.50-13|6.95-14|7.00-13|D70-14|E70-14,5x101.6,13|14
e6786b76-8fa8-4c0a-8d2c-21eb2e00dcc2,1969,Plymouth,Valiant,Base,0,0,0,D,vintage sizes only: 6.50-13 6.95-14 7.00-13,vintage_tire_size,6.50-13|6.95-14|7.00-13|D70-14|E70-14,5x101.6,13|14
d228f8fe-68d3-4cd0-9b1f-4a6d33509f97,1970,Plymouth,Valiant,Base,0,0,0,D,vintage sizes only: 6.95-14 D70-14 E70-14,vintage_tire_size,6.95-14|D70-14|E70-14,5x101.6,14
2b215ba6-14f5-4081-be10-520ba544601c,1971,Plymouth,Valiant,Base,0,0,0,D,vintage sizes only: 6.95-14 D70-14 E70-14,vintage_tire_size,6.95-14|D70-14|E70-14,5x101.6,14
8c573740-0a10-4091-bcd1-ffe9c2b76528,1972,Plymouth,Valiant,Base,0,0,0,D,vintage sizes only: 6.95-14 D70-14 E70-14,vintage_tire_size,6.95-14|D70-14|E70-14,5x101.6,14
b26cc588-dc54-4e27-bd68-abc81d77dac7,1964,Plymouth,barracuda,Base,0,0,0,D,vintage sizes only: 6.50-13,vintage_tire_size,6.50-13,5x101.6,13
426dbf05-fd1c-4354-8a94-73ad0d05ccd1,1965,Plymouth,barracuda,Base,0,0,0,D,vintage sizes only: 6.50-13 6.95-14 7.00-13,vintage_tire_size,6.50-13|6.95-14|7.00-13,5x101.6,13|14
29cda393-ea44-40d7-97b9-2d247ca0c91d,1966,Plymouth,barracuda,Base,0,0,0,D,vintage sizes only: 6.50-13 6.95-14 7.35-14,vintage_tire_size,6.50-13|6.95-14|7.35-14,5x101.6,13|14
ca43448f-f46c-4531-9a8a-4acb29d58fc3,1967,Plymouth,barracuda,Base,0,0,0,D,vintage sizes only: 7.35-14 D70-14 E70-14,vintage_tire_size,7.35-14|D70-14|E70-14,5x101.6,14
8e157402-e326-486b-b089-4b7f446119e3,1968,Plymouth,barracuda,Base,0,0,0,D,vintage sizes only: 7.35-14 D70-14 E70-14,vintage_tire_size,7.35-14|D70-14|E70-14,5x101.6,14
d4ed2e8a-a23d-4987-ac13-24fe78ec9ee7,1969,Plymouth,barracuda,Base,0,0,0,D,vintage sizes only: 7.35-14 D70-14 E70-14,vintage_tire_size,7.35-14|D70-14|E70-14|F70-14,5x101.6,14
dccb8b56-732d-4f72-b9e3-af30aaedbe83,1970,Plymouth,duster,Base,0,0,0,D,vintage sizes only: D78-14 E70-14,vintage_tire_size,D78-14|E70-14,5x101.6,14
91299dec-01be-40c5-8fe1-3f96c77a643e,1971,Plymouth,duster,Base,0,0,0,D,vintage sizes only: D78-14 E70-14,vintage_tire_size,D78-14|E70-14,5x101.6,14
7a2bfb87-3dad-495a-bec7-a65db7b03226,1972,Plymouth,duster,Base,0,0,0,D,vintage sizes only: D78-14 E70-14,vintage_tire_size,D78-14|E70-14,5x101.6,14
