year,make,model,display_trim,bolt_pattern,center_bore_mm,thread_size,offset_min,offset_max,diameter_min,diameter_max,width_min,width_max,wheel_count,source,issue_types,issue_details
2000,"acura","integra","Base","4x100",56.1,"M12x1.5",40,50,14,15,6,6,2,"cache-import","plausible_shared","Multiple specs with reasonable spread"
2000,"acura","tl","Base, Technology, SH-AWD, Advance","5x114.3",64.1,"M12x1.5",45,55,16,17,6.5,7,2,"cache-import","sibling_aggregation","Multiple trims grouped: Base, Technology, SH-AWD, Advance"
2000,"audi","a3","Base","5x100",57.1,"M14x1.5",35,43,15,17,6,7,3,"cache-import","plausible_shared","Multiple specs with reasonable spread"
2000,"audi","a4","1.8T","5x112",66.5,"M14x1.5",15,54,15,15,7,7,1,"generation_inherit","offset_range_too_broad","39mm offset spread (15mm to 54mm)"
2000,"audi","a4","2.0T","5x112",66.5,"M14x1.5",15,54,16,16,7,7,1,"generation_inherit","offset_range_too_broad","39mm offset spread (15mm to 54mm)"
2000,"audi","a4","Base","5x112",57.1,"M14x1.5",35,45,15,17,6,7,3,"cache-import","plausible_shared","Multiple specs with reasonable spread"
2000,"audi","a6","2.7T","5x112",66.5,"M14x1.5",15,54,16,16,7,7,1,"generation_inherit","offset_range_too_broad","39mm offset spread (15mm to 54mm)"
2000,"audi","a6","45 TFSI","5x112",66.5,"M14x1.5",15,54,17,17,8,8,1,"generation_inherit","offset_range_too_broad","39mm offset spread (15mm to 54mm)"
2000,"audi","a6","45 TFSI","5x112",66.5,"M14x1.5",15,54,17,17,7.5,7.5,1,"generation_inherit","offset_range_too_broad","39mm offset spread (15mm to 54mm)"
2000,"audi","a6","Base","5x112",57.1,"M14x1.5",25,45,16,18,6.5,7.5,3,"cache-import","plausible_shared","Multiple specs with reasonable spread"
2000,"audi","s4","Base","5x112",57.1,"M14x1.5",35,42,17,18,7,7.5,2,"cache-import","plausible_shared","Multiple specs with reasonable spread"
2000,"audi","s4","S4","5x112",66.5,"M14x1.5",15,54,17,17,7.5,7.5,1,"generation_inherit","offset_range_too_broad","39mm offset spread (15mm to 54mm)"
2000,"bmw","3-series","330i xDrive","5x120",72.6,"M14x1.25",12,51,17,17,7.5,7.5,1,"generation_inherit","offset_range_too_broad","39mm offset spread (12mm to 51mm)"
2000,"bmw","3-series","330i xDrive","5x120",72.6,"M14x1.25",12,51,16,16,7,7,1,"generation_inherit","offset_range_too_broad","39mm offset spread (12mm to 51mm)"
2000,"bmw","3-series","330i xDrive","5x120",72.6,"M14x1.25",12,51,16,16,7,7,1,"generation_inherit","offset_range_too_broad","39mm offset spread (12mm to 51mm)"
2000,"bmw","3-series","330i xDrive","5x120",72.6,"M14x1.25",12,51,16,16,7,7,1,"generation_inherit","offset_range_too_broad","39mm offset spread (12mm to 51mm)"
2000,"bmw","3-series","Base","5x120",72.6,"M12x1.5",35,47,16,18,6.5,7.5,3,"cache-import","plausible_shared","Multiple specs with reasonable spread"
2000,"bmw","5-series","Base","5x120",72.6,"M12x1.5",18,24,16,18,6.5,7.5,3,"cache-import","plausible_shared","Multiple specs with reasonable spread"
2000,"bmw","5-series","M5","5x120",72.6,"M14x1.25",12,51,17,17,8,8,1,"generation_inherit","offset_range_too_broad","39mm offset spread (12mm to 51mm)"
2000,"bmw","5-series","M5","5x120",72.6,"M14x1.25",12,51,17,17,8,8,1,"generation_inherit","offset_range_too_broad","39mm offset spread (12mm to 51mm)"
2000,"bmw","5-series","M5","5x120",72.6,"M14x1.25",12,51,16,16,7,7,1,"generation_inherit","offset_range_too_broad","39mm offset spread (12mm to 51mm)"
2000,"bmw","5-series","M5","5x120",72.6,"M14x1.25",12,51,16,16,7,7,1,"generation_inherit","offset_range_too_broad","39mm offset spread (12mm to 51mm)"
2000,"bmw","m5","Base","5x120",72.6,"M12x1.5",22,32,19,20,8,8.5,2,"cache-import","plausible_shared","Multiple specs with reasonable spread"
2000,"bmw","m5","M5","5x120",72.6,"M14x1.25",12,51,18,18,8,9.5,2,"generation_inherit","offset_range_too_broad","39mm offset spread (12mm to 51mm)"
2000,"bmw","m5","M5","5x120",72.6,"M14x1.25",12,51,18,18,8,9.5,2,"generation_inherit","offset_range_too_broad","39mm offset spread (12mm to 51mm)"
2000,"bmw","x5","Base","5x120",74.1,"M12x1.5",40,50,17,20,7,8.5,4,"cache-import","exact_safe","Specs within expected ranges"
2000,"buick","century","Custom, Limited","5x115",70.3,"M12x1.5",40,50,,,,,0,"generation_template","missing_wheel_specs; sibling_aggregation","No OEM wheel sizes defined; Multiple trims grouped: Custom, Limited"
2000,"buick","lesabre","Custom, Limited","5x115",70.3,"M12x1.5",40,50,15,15,6,6,1,"generation_template [filled from 2004 lesabre]","sibling_aggregation","Multiple trims grouped: Custom, Limited"
2000,"buick","regal","Sportback, TourX, GS","5x115",70.3,"M12x1.5",38,50,,,,,0,"generation_template","missing_wheel_specs; sibling_aggregation","No OEM wheel sizes defined; Multiple trims grouped: Sportback, TourX, GS"
2000,"cadillac","escalade","Luxury, Premium Luxury, Sport, Platinum, V","6x139.7",78.1,"M14x1.5",25,45,16,16,7,7,1,"final-gap-fill","sibling_aggregation","Multiple trims grouped: Luxury, Premium Luxury, Sport, Platinum, V"
