id,year,make,model,display_trim,raw_trim,modification_id,bolt_pattern,center_bore_mm,thread_size,offset_min_mm,offset_max_mm,oem_wheel_sizes,oem_tire_sizes,source,quality_tier,created_at,canonical_make,detected_suffix
eff08f68-268d-4a12-89fa-22222e016610,2018,Chevrolet Minivans,City Express,LS (C-Type Tires),LS (C-Type Tires),4c404b87bb1714f2,5x114.3,66.1,M12x1.25,45.00,45.00,"[""5.5x15""]","[""185/60R15C""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",Chevrolet,Minivans
a37bd7ca-ddf6-41e1-aebc-99764dfc7d63,2018,Chevrolet Minivans,City Express,LT (C-Type Tires),LT (C-Type Tires),7f117f771f56a683,5x114.3,66.1,M12x1.25,45.00,45.00,"[""5.5x15""]","[""185/60R15C""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",Chevrolet,Minivans
adf38854-ca57-4a57-b9e7-3fbd58bb032b,2018,Chevrolet Vans,Express 2500,Base,Base,1d6fea35028c8de3,8x165.1,116.7,M14x1.50,28.00,31.00,"[""6.5x16""]","[""LT245/75R16/E""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",Chevrolet,Vans
3152bef9-c0e2-452f-91a6-d19a962141e6,2018,Chevrolet Vans,Express 2500,LS,LS,9d7b7ca6c9e3a690,8x165.1,116.7,M14x1.50,28.00,31.00,"[""6.5x16""]","[""LT245/75R16/E""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",Chevrolet,Vans
5d1972f0-04c3-4aa6-8e01-2a60365ac4b0,2018,Chevrolet Vans,Express 2500,LT,LT,f98e183afb90c7ac,8x165.1,116.7,M14x1.50,28.00,31.00,"[""6.5x16""]","[""LT245/75R16/E""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",Chevrolet,Vans
483c64c8-3fe5-44be-9145-bd23bf661483,2018,Chevrolet Vans,Express 3500,Base,Base,92e510447a1ac0bd,8x165.1,116.7,M14x1.50,28.00,28.00,"[""6.5x16""]","[""LT245/75R16/E""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",Chevrolet,Vans
62cf333a-66c5-42c3-af00-cae91203ac28,2018,Chevrolet Vans,Express 3500,LS,LS,384c175ead0d5d92,8x165.1,116.7,M14x1.50,28.00,28.00,"[""6.5x16""]","[""LT245/75R16/E""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",Chevrolet,Vans
c8ed4070-78ca-4b99-94c0-02c371301b17,2018,Chevrolet Vans,Express 3500,LT,LT,6184e227d58ee257,8x165.1,116.7,M14x1.50,28.00,28.00,"[""6.5x16""]","[""LT245/75R16/E""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",Chevrolet,Vans
9db51374-3cdb-4339-847f-0e938d354e8c,2018,Chrysler Minivans,Pacifica Minivan,Hybrid Limited,Hybrid Limited,c731ccffe8d72187,5x127,71.5,M12x1.50,40.00,40.00,"[""7.5x18"",""7x17""]","[""235/60R18"",""235/65R17""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",Chrysler,Minivans
18968dac-2e25-421a-8e88-4a3ad2661375,2018,Chrysler Minivans,Pacifica Minivan,Hybrid Touring L,Hybrid Touring L,5e7771f153238a1f,5x127,71.5,M12x1.50,40.00,40.00,"[""7x17""]","[""235/65R17""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",Chrysler,Minivans
c0c4c07e-0620-4fe0-ad28-8f9887331385,2018,Chrysler Minivans,Pacifica Minivan,Hybrid Touring Plus,Hybrid Touring Plus,daea1571e43a768e,5x127,71.5,M12x1.50,40.00,40.00,"[""7x17""]","[""235/65R17""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",Chrysler,Minivans
337ce1a6-2dba-4624-bb8f-a3912219d4cc,2018,Chrysler Minivans,Pacifica Minivan,L,L,0cc1d26a06eef9ae,5x127,71.5,M12x1.50,40.00,40.00,"[""7x17""]","[""235/65R17""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",Chrysler,Minivans
809018f2-daf7-4557-86df-ae0c84baab4f,2018,Chrysler Minivans,Pacifica Minivan,LX,LX,c70dc849249ed860,5x127,71.5,M12x1.50,40.00,40.00,"[""7x17""]","[""235/65R17""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",Chrysler,Minivans
924c9d09-8c7b-4ab2-8c5f-c104471c7bb2,2018,Chrysler Minivans,Pacifica Minivan,Limited,Limited,161cc96b83502098,5x127,71.5,M12x1.50,40.00,40.00,"[""7.5x18"",""7.5x20""]","[""235/60R18"",""245/50R20""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",Chrysler,Minivans
32f368f5-9648-416c-b5b1-fd862802fcf6,2018,Chrysler Minivans,Pacifica Minivan,Touring L,Touring L,37b7ec791cc41201,5x127,71.5,M12x1.50,40.00,40.00,"[""7.5x18"",""7.5x20"",""7x17""]","[""235/60R18"",""235/65R17"",""245/50R20""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",Chrysler,Minivans
fd5a55cc-4c3e-41b0-b8c9-f6194af0f0fc,2018,Chrysler Minivans,Pacifica Minivan,Touring L Plus,Touring L Plus,020c75d777e47a8c,5x127,71.5,M12x1.50,40.00,40.00,"[""7.5x18"",""7.5x20"",""7x17""]","[""235/60R18"",""235/65R17"",""245/50R20""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",Chrysler,Minivans
af6efd9c-3e23-43b0-ab68-442bb1c73890,2018,Chrysler Minivans,Pacifica Minivan,Touring Plus,Touring Plus,68eb24ff0d0d43ed,5x127,71.5,M12x1.50,40.00,40.00,"[""7.5x18"",""7x17""]","[""235/60R18"",""235/65R17""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",Chrysler,Minivans
33c9f60d-0f6a-4d03-bb28-f9d7f80cfdf3,2018,Dodge Minivans,Grand Caravan,GT,GT,74676ed3ca83c521,5x127,71.5,M12x1.50,40.00,40.00,"[""6.5x17""]","[""225/65R17"",""P225/65R17""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",Dodge,Minivans
7d5e5841-e2fa-4ce8-afa0-f6dc737ebfde,2018,Dodge Minivans,Grand Caravan,SE,SE,632c27b941e5b65b,5x127,71.5,M12x1.50,40.00,40.00,"[""6.5x17""]","[""225/65R17"",""P225/65R17""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",Dodge,Minivans
d657a62f-ca3c-4619-ad6c-8cfb20c0d3be,2018,Dodge Minivans,Grand Caravan,SE Plus,SE Plus,1efb267196decaf2,5x127,71.5,M12x1.50,40.00,40.00,"[""6.5x17""]","[""225/65R17"",""P225/65R17""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",Dodge,Minivans
8b013e33-4dd4-49de-947d-e85d2ae91c62,2018,Dodge Minivans,Grand Caravan,SXT,SXT,15cd9dfebe2ea3c3,5x127,71.5,M12x1.50,40.00,40.00,"[""6.5x17""]","[""225/65R17"",""P225/65R17""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",Dodge,Minivans
4ed771d7-1f02-40cc-813d-0982b016bfdf,2018,Ford Minivans,Transit Connect,Titanium,Titanium,dd7c41a23fe8b01a,5x108,63.5,M12x1.50,46.00,46.00,"[""6.5x16"",""6.5x17""]","[""215/50R17"",""215/55R16""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",Ford,Minivans
