id,year,make,model,display_trim,raw_trim,modification_id,bolt_pattern,center_bore_mm,thread_size,offset_min_mm,offset_max_mm,oem_wheel_sizes,oem_tire_sizes,source,quality_tier,created_at,missing_fields
92d0d0e4-9b53-4f9c-bcd7-b31a076cc73d,2018,Ferrari,812 Superfast,Base Front Base,Base Front Base,9a43834635633f2f,5x114.3,,,,,"[""10x20""]","{""rear"":[],""front"":[""275/35ZR20""]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",center_bore_mm
d441b233-9d98-4aa5-92fb-f35174d8ec9a,2018,Ferrari,812 Superfast,Base Rear Base,Base Rear Base,9eb7736b991ab3a8,5x114.3,,,,,"[""11.5x20""]","{""rear"":[""315/35ZR20""],""front"":[]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",center_bore_mm
2b1865cd-cb7e-47c0-aede-998bd7f0d66a,2018,Ferrari,GTC4Lusso,(Michelin Tires) Front (Michelin Tires),(Michelin Tires) Front (Michelin Tires),b5272eb949a251b1,5x114.3,,,,,"[""8.5x20""]","{""rear"":[],""front"":[""245/35ZR20""]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",center_bore_mm
651331ce-5eeb-456b-adf6-a85b09e278e2,2018,Ferrari,GTC4Lusso,(Michelin Tires) Rear (Michelin Tires),(Michelin Tires) Rear (Michelin Tires),cf54ae88193cba31,5x114.3,,,,,"[""10.5x20""]","{""rear"":[""295/35ZR20""],""front"":[]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",center_bore_mm
09d1f754-827d-4c34-ad03-5e9207b92497,2018,Ferrari,GTC4Lusso,Base Front Base,Base Front Base,668fac36b7b28850,5x114.3,,,,,"[""8.5x20""]","{""rear"":[],""front"":[""245/35ZR20""]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",center_bore_mm
96cd9f19-8c5a-4ad4-8770-7cc29cf2db73,2018,Ferrari,GTC4Lusso,Base Rear Base,Base Rear Base,4756d7e74bb45e60,5x114.3,,,,,"[""10.5x20""]","{""rear"":[""295/35ZR20""],""front"":[]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",center_bore_mm
19784583-3765-48a2-8509-f5f7eb1b9071,2018,Ferrari,GTC4Lusso T,(Michelin Tires) Front (Michelin Tires),(Michelin Tires) Front (Michelin Tires),9e87a1e963d951ce,5x114.3,,,,,"[""8.5x20""]","{""rear"":[],""front"":[""245/35ZR20""]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",center_bore_mm
79aa91fc-fd54-410b-bd1e-ae178aa1e053,2018,Ferrari,GTC4Lusso T,(Michelin Tires) Rear (Michelin Tires),(Michelin Tires) Rear (Michelin Tires),9c4c3d13259f038f,5x114.3,,,,,"[""10.5x20""]","{""rear"":[""295/35ZR20""],""front"":[]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",center_bore_mm
af47fad6-a7df-4e69-a45b-6dde40136c26,2018,Ferrari,GTC4Lusso T,Base Front Base,Base Front Base,d207d89c43cebe6a,5x114.3,,,,,"[""8.5x20""]","{""rear"":[],""front"":[""245/35ZR20""]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",center_bore_mm
e1056452-35cb-4d75-a503-7e943d48cbf4,2018,Ferrari,GTC4Lusso T,Base Rear Base,Base Rear Base,80f146b3a58ed141,5x114.3,,,,,"[""10.5x20""]","{""rear"":[""295/35ZR20""],""front"":[]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z""",center_bore_mm
b046f423-aae7-4d4d-8f8e-d3034a531a9d,2018,Ford,F-350 Super Duty,King Ranch 4x2 (DRW),King Ranch 4x2 (DRW),bd54135906796477,8x200,,M14x1.50,,,"[""6.5x17""]","[""LT245/75R17/E""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",center_bore_mm
b8e56c3c-a5f5-456c-b9d5-61426f16f711,2018,Ford,F-350 Super Duty,King Ranch 4x4 (DRW),King Ranch 4x4 (DRW),c88d6258f607930d,8x200,,M14x1.50,,,"[""6.5x17""]","[""LT245/75R17/E""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",center_bore_mm
480f6649-4f78-4128-a2b1-fb1c71956c28,2018,Ford,F-350 Super Duty,King Ranch 4x4 (DRW) w/Snow Plow Pkg.,King Ranch 4x4 (DRW) w/Snow Plow Pkg.,2c5d3f038eead914,8x200,,M14x1.50,,,"[""6.5x17""]","[""LT245/75R17/E""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",center_bore_mm
16374ad1-6f0a-4779-9a8a-937e1932d404,2018,Ford,F-350 Super Duty,Lariat 4x2 (DRW),Lariat 4x2 (DRW),7d45bcc284c9a4ee,8x200,,M14x1.50,,,"[""6.5x17""]","[""LT245/75R17/E""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",center_bore_mm
a4445559-3fdb-48a2-89a7-2c184a40a0f1,2018,Ford,F-350 Super Duty,Lariat 4x4 (DRW),Lariat 4x4 (DRW),ba031022ba2bbba8,8x200,,M14x1.50,,,"[""6.5x17""]","[""LT245/75R17/E""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",center_bore_mm
81c39b8b-3d26-41d7-9374-b35349a743bf,2018,Ford,F-350 Super Duty,Lariat 4x4 (DRW) w/Snow Plow Pkg.,Lariat 4x4 (DRW) w/Snow Plow Pkg.,a7df28a50a7cf5cf,8x200,,M14x1.50,,,"[""6.5x17""]","[""LT245/75R17/E""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",center_bore_mm
2b45e3db-5125-4a4e-bbae-c366fca2c34e,2018,Ford,F-350 Super Duty,Platinum (DRW),Platinum (DRW),a6258806e7b027d3,8x200,,M14x1.50,,,"[""6.5x17""]","[""LT245/75R17/E""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z""",center_bore_mm
