id,year,make,model,display_trim,raw_trim,modification_id,bolt_pattern,center_bore_mm,thread_size,offset_min_mm,offset_max_mm,oem_wheel_sizes,oem_tire_sizes,source,quality_tier,created_at
68777174-d2e7-4309-b3bd-429a585314ba,2018,Acura,ILX,Base,Base,af83dc82581f3fe0,5x114.3,64.1,M12x1.50,45.00,45.00,"[""7x17""]","[""P215/45R17""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z"""
ec26e7a5-664d-4e51-87a4-84c83b2f657c,2018,Acura,ILX,Special Edition,Special Edition,21f85762c377a3ef,5x114.3,64.1,M12x1.50,45.00,45.00,"[""7.5x18""]","[""225/40R18""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z"""
1158eb70-6910-41c1-9155-4b7e1cdd3d1e,2018,Acura,ILX,w/A-Spec Pkg.,w/A-Spec Pkg.,bf2269316e18d724,5x114.3,64.1,M12x1.50,45.00,45.00,"[""7.5x18""]","[""225/40R18""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z"""
67d05e52-6271-4683-8633-fcd9008d662f,2018,Acura,MDX,Base,Base,ead67a74e1662cec,5x120,64.1,M14x1.50,45.00,45.00,"[""8x18"",""8x20""]","[""245/50R20"",""245/60R18""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z"""
5e3c3ec3-c496-4846-a467-c661cf26f3a9,2018,Acura,MDX,SH-AWD,SH-AWD,d4904db166374c5d,5x120,64.1,M14x1.50,45.00,45.00,"[""8x18"",""8x20""]","[""245/50R20"",""245/60R18""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z"""
cf0a7ed0-7d5f-434d-bec6-8d93a990157b,2018,Acura,MDX,Sport Hybrid SH-AWD,Sport Hybrid SH-AWD,29c32c170add09de,5x120,64.1,M14x1.50,45.00,45.00,"[""8x20""]","[""245/50R20""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z"""
0f842ac9-45c0-4187-b1dc-fc7ef4f58d7f,2018,Acura,NSX,Base Front Base,Base Front Base,8e33dac42581c52c,5x120,70.0,M14x1.50,55.00,55.00,"[""8.5x19""]","{""rear"":[],""front"":[""245/35ZR19""]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z"""
dc3ce80f-5435-4d1a-bb93-84ed7e831cf2,2018,Acura,NSX,Base Rear Base,Base Rear Base,d1ed73643c2e6e3a,5x120,70.0,M14x1.50,55.00,55.00,"[""11x20""]","{""rear"":[""305/30ZR20""],""front"":[]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z"""
5f8bf369-d00a-41e5-a174-3b1aad613b96,2018,Acura,RDX,Base,Base,d1b080ff83ee426e,5x114.3,64.1,M12x1.50,55.00,55.00,"[""7.5x18""]","[""P235/60R18""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z"""
427f533d-35f4-4719-a302-cf52e56cef1f,2018,Acura,RLX,Base,Base,f5acd41198eccff7,5x120,64.1,M14x1.50,55.00,55.00,"[""8x19""]","[""245/40R19""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z"""
8b9bbdcb-a566-4430-8914-c964e0c0bf19,2018,Acura,RLX,Sport Hybrid SH-AWD,Sport Hybrid SH-AWD,c2db970a163c74d6,5x120,64.1,M14x1.50,55.00,55.00,"[""8x19""]","[""245/40R19""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z"""
c01af34e-cd08-413c-bbf2-0b2127ed5fd9,2018,Acura,TLX,4 Cyl.,4 Cyl.,ceab338fc9b6cf4e,5x114.3,64.1,M12x1.50,50.00,50.00,"[""7.5x17""]","[""225/55R17""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z"""
ae599013-52d1-4ec9-a39e-9419f696d1be,2018,Acura,TLX,SH-AWD,SH-AWD,cc216a82c6f20bb5,5x114.3,64.1,M12x1.50,50.00,50.00,"[""7.5x18"",""8x19""]","[""225/50R18"",""245/40R19""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z"""
8e5bb961-81aa-45a9-955e-2b616bbf6ee8,2018,Acura,TLX,SH-AWD A-Spec,SH-AWD A-Spec,c2c399f49e2003f0,5x114.3,64.1,M12x1.50,50.00,50.00,"[""8x19""]","[""245/40R19""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z"""
176d376e-4567-4c1c-a249-6ec53846395d,2018,Acura,TLX,V6,V6,712d091306c1530b,5x114.3,64.1,M12x1.50,50.00,50.00,"[""7.5x18""]","[""225/50R18""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z"""
4e035628-8f15-420f-b3fb-338deac20503,2018,Alfa Romeo,4C,Base Front Base,Base Front Base,1b3ffcb2cf83d6bb,5x98,58.1,M12x1.25B,33.00,33.00,"[""7x17"",""7x18""]","{""rear"":[],""front"":[""205/40ZR18"",""205/45ZR17""]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z"""
5625e847-7479-47ef-a4bd-d474494e58d7,2018,Alfa Romeo,4C,Base Rear Base,Base Rear Base,bed28b3afc086010,5x98,58.1,M12x1.25B,33.00,33.00,"[""8.5x19"",""8x18""]","{""rear"":[""235/35ZR19"",""235/40ZR18""],""front"":[]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z"""
e3e6891a-4a7f-42a3-a9e9-239c23fc9139,2018,Alfa Romeo,4C,Spider Front Spider,Spider Front Spider,c04be3f8035f4a40,5x98,58.1,M12x1.25B,33.00,33.00,"[""7x17"",""7x18""]","{""rear"":[],""front"":[""205/40ZR18"",""205/45ZR17""]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z"""
62bd94e2-e81a-4cf8-81da-0da389f58c3d,2018,Alfa Romeo,4C,Spider Rear Spider,Spider Rear Spider,dd0c88e2f4162cf9,5x98,58.1,M12x1.25B,33.00,33.00,"[""8.5x19"",""8x18""]","{""rear"":[""235/35ZR19"",""235/40ZR18""],""front"":[]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z"""
b42b52eb-12b9-4770-9c82-e388e192d61c,2018,Alfa Romeo,Giulia,Base,Base,ed02b63cad5893db,5x110,65.1,M14x1.50B,40.00,40.00,"[""7.5x17"",""8x18""]","[""225/45R18"",""225/50R17""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z"""
56845fbd-3bde-4f7d-bc33-761928a51d13,2018,Alfa Romeo,Giulia,Quadrifoglio Front Quadrifoglio,Quadrifoglio Front Quadrifoglio,bdb0b70a74744938,5x110,65.1,M14x1.50B,35.00,35.00,"[""8.5x19""]","{""rear"":[],""front"":[""245/35ZR19""]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z"""
1ed2d1a5-8cfe-4e69-baf0-b4c28d1570df,2018,Alfa Romeo,Giulia,Quadrifoglio Rear Quadrifoglio,Quadrifoglio Rear Quadrifoglio,b45408c859fb578c,5x110,65.1,M14x1.50B,40.00,40.00,"[""10x19""]","{""rear"":[""285/30ZR19""],""front"":[]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z"""
56623c1c-ca3d-456a-afc4-fea647ce7272,2018,Alfa Romeo,Giulia,Ti,Ti,76c8ffb4c34ac269,5x110,65.1,M14x1.50B,40.00,40.00,"[""8x18"",""8x19""]","[""225/40R19"",""225/45R18""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z"""
45f416ad-178f-4190-97d6-7dd95ab12f25,2018,Alfa Romeo,Giulia,Ti w/Sport Pkg. Front Ti w/Sport Pkg.,Ti w/Sport Pkg. Front Ti w/Sport Pkg.,184b918c9bd33ce2,5x110,65.1,M14x1.50B,40.00,40.00,"[""8x19""]","{""rear"":[],""front"":[""225/40R19""]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z"""
869654ef-9803-487b-9299-0ae528a368e4,2018,Alfa Romeo,Giulia,Ti w/Sport Pkg. Rear Ti w/Sport Pkg.,Ti w/Sport Pkg. Rear Ti w/Sport Pkg.,59532dbab81fada4,5x110,65.1,M14x1.50B,40.00,40.00,"[""9x19""]","{""rear"":[""255/35R19""],""front"":[]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z"""
14e97a47-9c8b-4d74-8921-396c284b582e,2018,Alfa Romeo,Stelvio,Base,Base,0e98e028a8ce32ce,5x110,65.1,M14x1.50B,40.00,40.00,"[""8.5x20"",""8x18"",""8x19""]","[""235/55R19"",""235/60R18"",""255/45R20""]",tgp_solutions,unknown,"""2026-05-07T21:45:59.143Z"""
2db3bc9f-6cfc-4641-8639-791b642f7d1f,2018,Alfa Romeo,Stelvio,Quadrifoglio Front Quadrifoglio,Quadrifoglio Front Quadrifoglio,93d851ea6351e06d,5x110,65.1,M14x1.50B,40.00,40.00,"[""9x20""]","{""rear"":[],""front"":[""255/45R20""]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z"""
bf074b0b-9a1d-4a46-a90d-1c7ccddc342c,2018,Alfa Romeo,Stelvio,Quadrifoglio Rear Quadrifoglio,Quadrifoglio Rear Quadrifoglio,1725ee60e2769a5b,5x110,65.1,M14x1.50B,40.00,40.00,"[""10x20""]","{""rear"":[""285/40R20""],""front"":[]}",deprecated-staggered-split,unknown,"""2026-05-07T21:45:59.143Z"""
