vehicle,category,flow,pass,failure_reason,warning,wheel_count,tire_count,bolt_pattern,min_diameter,max_diameter,sizes_searched,fitment_source
"2024 Ford F-150 XLT","half-ton","standard-fitment","PASS","","","24","","6x135","","","","dbFirst"
"2024 Ford F-150 XLT","half-ton","standard-tires","PASS","","","","100","","","","",""
"2024 Ford F-150 XLT","half-ton","package","PASS","","","","","","","","",""
"2024 Ford F-150 XLT","half-ton","lifted-2in","PASS","","","","100","","33","33","275/60R20",""
"2024 Ford F-150 XLT","half-ton","lifted-4in","PASS","","","","17","","34","35","35x12.50R20",""
"2024 Ford F-150 XLT","half-ton","lifted-6in","PASS","","","","34","","35","37","35x12.50R20 | 37x12.50R20",""
"2024 Ford F-150 XLT","half-ton","lifted-8in","PASS","","","","34","","35","37","35x12.50R20 | 37x12.50R20",""
"2023 Ford F-150 Lariat","half-ton","standard-fitment","PASS","","","24","","6x135","","","","dbFirst"
"2023 Ford F-150 Lariat","half-ton","standard-tires","PASS","","","","100","","","","",""
"2023 Ford F-150 Lariat","half-ton","package","PASS","","","","","","","","",""
"2023 Ford F-150 Lariat","half-ton","lifted-2in","PASS","","","","100","","33","33","275/60R20",""
"2023 Ford F-150 Lariat","half-ton","lifted-4in","PASS","","","","17","","34","35","35x12.50R20",""
"2023 Ford F-150 Lariat","half-ton","lifted-6in","PASS","","","","34","","35","37","35x12.50R20 | 37x12.50R20",""
"2023 Ford F-150 Lariat","half-ton","lifted-8in","PASS","","","","34","","35","37","35x12.50R20 | 37x12.50R20",""
"2022 Ford F-150 Raptor","half-ton","standard-fitment","PASS","","","24","","6x135","","","","dbFirst"
"2022 Ford F-150 Raptor","half-ton","standard-tires","PASS","","","","100","","","","",""
"2022 Ford F-150 Raptor","half-ton","package","PASS","","","","","","","","",""
"2022 Ford F-150 Raptor","half-ton","lifted-2in","PASS","","","","100","","33","33","275/60R20",""
"2022 Ford F-150 Raptor","half-ton","lifted-4in","PASS","","","","17","","34","35","35x12.50R20",""
"2022 Ford F-150 Raptor","half-ton","lifted-6in","PASS","","","","34","","35","37","35x12.50R20 | 37x12.50R20",""
"2022 Ford F-150 Raptor","half-ton","lifted-8in","PASS","","","","34","","35","37","35x12.50R20 | 37x12.50R20",""
"2021 Ford F-150 Platinum","half-ton","standard-fitment","PASS","","","24","","6x135","","","","dbFirst"
"2021 Ford F-150 Platinum","half-ton","standard-tires","PASS","","","","100","","","","",""
"2021 Ford F-150 Platinum","half-ton","package","PASS","","","","","","","","",""
"2021 Ford F-150 Platinum","half-ton","lifted-2in","PASS","","","","100","","33","33","275/60R20",""
"2021 Ford F-150 Platinum","half-ton","lifted-4in","PASS","","","","17","","34","35","35x12.50R20",""
"2021 Ford F-150 Platinum","half-ton","lifted-6in","PASS","","","","34","","35","37","35x12.50R20 | 37x12.50R20",""
"2021 Ford F-150 Platinum","half-ton","lifted-8in","PASS","","","","34","","35","37","35x12.50R20 | 37x12.50R20",""
"2020 Ford F-150 King Ranch","half-ton","standard-fitment","PASS","","","24","","6x135","","","","dbFirst"
"2020 Ford F-150 King Ranch","half-ton","standard-tires","PASS","","","","100","","","","",""
"2020 Ford F-150 King Ranch","half-ton","package","PASS","","No package recommendations returned","","","","","","",""
"2020 Ford F-150 King Ranch","half-ton","lifted-2in","PASS","","","","100","","33","33","275/60R20",""
"2020 Ford F-150 King Ranch","half-ton","lifted-4in","PASS","","","","17","","34","35","35x12.50R20",""
"2020 Ford F-150 King Ranch","half-ton","lifted-6in","PASS","","","","34","","35","37","35x12.50R20 | 37x12.50R20",""
"2020 Ford F-150 King Ranch","half-ton","lifted-8in","PASS","","","","34","","35","37","35x12.50R20 | 37x12.50R20",""
"2024 Chevrolet Silverado 1500 LT","half-ton","standard-fitment","PASS","","","24","","6x139.7","","","","dbFirst"
"2024 Chevrolet Silverado 1500 LT","half-ton","standard-tires","PASS","","","","100","","","","",""
"2024 Chevrolet Silverado 1500 LT","half-ton","package","PASS","","","","","","","","",""
"2024 Chevrolet Silverado 1500 LT","half-ton","lifted-2in","PASS","","","","100","","33","33","275/60R20",""
"2024 Chevrolet Silverado 1500 LT","half-ton","lifted-4in","FAIL","Tire size 33x12.50R20 (33") below min 34" for half-ton 4" lift; Tire size 295/55R20 (33") below min 34" for half-ton 4" lift; Tire size 305/55R20 (33") below min 34" for half-ton 4" lift","","","100","","34","35","33x12.50R20 | 295/55R20 | 305/55R20",""
"2024 Chevrolet Silverado 1500 LT","half-ton","lifted-6in","PASS","","","","34","","35","37","35x12.50R20 | 37x12.50R20",""
"2024 Chevrolet Silverado 1500 LT","half-ton","lifted-8in","PASS","","","","34","","35","37","35x12.50R20 | 37x12.50R20",""
"2023 Chevrolet Silverado 1500 RST","half-ton","standard-fitment","PASS","","","24","","6x139.7","","","","dbFirst"
"2023 Chevrolet Silverado 1500 RST","half-ton","standard-tires","PASS","","","","100","","","","",""
